"","STB_a6_1","STB_a6_2","STB_b5_1","STB_b5_2","STB_d4_1","STB_d4_2","STB_wt_1","STB_wt_2"
"AC005899.6",0.0979636060305416,0.0951873241324949,0.190529484294798,0.113050939622885,0.110153376459849,0.131481927546095,0.0992196129393289,0.276721483193943
"AC005899.7",0.734727045229062,0.0951873241324949,0.381058968589595,0.113050939622885,0.605843570529169,0.350618473456253,0.0496098064696645,0.184480988795962
"PSMD11",191.567831592724,185.853250368696,212.345110246552,217.453482364619,204.49974339771,207.74144552283,205.285379171472,207.356631406662
"CDK5R1",1.12658146935123,0.475936620662474,1.42897113221098,0.339152818868654,0.936303699908716,1.18333734791485,0.496098064696645,0.784044202382839
"MYO1D",3.5266898170995,3.33155634463732,3.57242783052745,4.35246117548106,3.69013811140494,3.50618473456253,4.76254142108779,4.75038546149603
"AC079336.2",0,0.0951873241324949,0.0476323710736994,0,0.0550766882299245,0.0876546183640633,0.0496098064696645,0.0461202471989906
"AC079336.4",0,0,0,0,0,0.0438273091820316,0,0.0461202471989906
"TMEM98",0.930654257290145,0.380749296529979,0.571588452884393,0.96093298679452,0.771073635218943,0.832718874458601,0.148829419408993,0.415082224790915
"AC123769.1",0.195927212061083,0.285561972397485,0.381058968589595,0.169576409434327,0.165230064689773,0.394445782638285,0.198439225878658,0.230601235994953
"CCT6B",0.0489818030152708,0.0951873241324949,0.0476323710736994,0.113050939622885,0.110153376459849,0.131481927546095,0.148829419408993,0.184480988795962
"ZNF830",10.1882150271763,10.1374500201107,9.66937132796097,12.6617052377631,8.86734680501784,13.1920200637915,10.0707907133419,9.91585314778297
"LIG3",31.0054813086664,27.7471049846223,34.9621603680953,32.6151960812022,30.9530987852175,31.3803533743347,29.418615236511,28.7790342521701
"RFFL",9.30654257290145,9.13798311671951,10.622018749435,8.81797329058501,8.20642654625875,10.6500361312337,9.7731318745239,11.8990237773396
"RAD51D",4.21243505931329,3.28396268257107,4.14401628341185,3.61763006793231,4.68151849954358,4.86483131920551,5.25863948578443,5.07322719188896
