"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","STB_wt_1","STB_wt_2"
"AL355877.1",70.7832831370594,1.01087113502327,0.287306209621153,3.51844513335169,0.000434083567329356,0.00305556030634072,2.08361187172591,2.12153137115357
"RPS6KA1",606.857005226854,0.50917510502822,0.11482415354011,4.43439023350044,9.23332483165518e-06,0.000113947005757939,20.9849481366681,27.3031863418024
"FAM46B",38.0664779385489,1.13835234071149,0.3677297298682,3.09562226888615,0.00196400380779823,0.0106071358672343,1.09141574233262,1.01464543837779
"WDTC1",201.835141090294,-0.850633083987055,0.137317637128864,-6.19463822545087,5.84190541959227e-10,2.00526797497989e-08,15.1806007797173,16.5571687444376
"SYTL1",18.292233520992,-1.73808372865469,0.462308986579928,-3.75957158330989,0.000170204573131225,0.00138628159111405,2.08361187172591,1.98317062955659
"SMPDL3B",1723.44777154797,0.877195923265082,0.133780896131957,6.55695954076913,5.49159048304641e-11,2.29880531848454e-09,52.2887360190264,58.664954437116
"PHACTR4",946.191689002506,0.631420289969505,0.122605488020583,5.15001652995748,2.60463502569625e-07,4.77705987245601e-06,36.661646981082,33.4832994664671
"SNHG3",2498.68310737716,0.583436993382225,0.0985144982805245,5.92234649280618,3.17380022109515e-09,9.23553874960715e-08,89.892969323032,100.680499635396
"AL513497.1",58.4580819140817,1.30746558940997,0.297614210742203,4.39315577757311,1.11717016426288e-05,0.000133425062272155,1.24024516174161,1.66032889916366
"TRNAU1AP",537.601805460121,0.529351854159694,0.105683066442779,5.00886160836661,5.4752924459958e-07,9.26022615027477e-06,19.5462637490478,22.7372818691023
"PTPRU",32.9297111432463,-1.24321910787292,0.395894079710212,-3.14028214006872,0.00168785194631749,0.00938523147555178,3.37346683993718,2.72109458474044
"AC114488.1",21.9098902057706,1.36795464497988,0.462989664197321,2.95461162691717,0.00313062875917142,0.0155176720556884,0.545707871166309,0.507322719188896
"TMEM54",160.000116793906,0.703699502545004,0.236651140889151,2.97357325175382,0.00294354138342879,0.0147411054972984,5.45707871166309,5.94951188866978
"GJB3",11.3098479143727,-1.44580916057798,0.52618819202703,-2.74770354501553,0.00600142450627009,0.0261835002697379,1.14102554880228,1.10688593277577
"SNIP1",1096.41559741704,0.878122505466409,0.132468548078437,6.62891318886095,3.38167375255291e-11,1.49505576428655e-09,34.9749135611135,35.5587105904217
"FTH1P1",188.46803423629,0.683003373087638,0.203695482920982,3.35306096774169,0.000799230992093354,0.00507320428230542,7.93756903514632,5.62667015827685
"YRDC",353.72557067457,0.641866570786238,0.137383293560017,4.67208606049202,2.98155975050882e-06,4.20219830608625e-05,14.337234069733,11.7606630357426
"HEYL",201.928642507076,0.525273088377136,0.149350875170564,3.51704057828422,0.000436387063484269,0.00306492586393634,8.28483768043397,7.60984078783344
"PPIE",797.375428939253,-0.545301976604284,0.124701230971918,-4.37286763213334,1.22625079633683e-05,0.000144670037770076,50.6516124055274,58.757194931514
"ZMPSTE24",4814.33881005783,0.550804185747351,0.0702881226822018,7.83637639943433,4.6373438720316e-15,4.00209128682179e-13,187.971556713559,185.910716459131
"SCMH1",23.9646000273198,-2.04633959613973,0.411026205385389,-4.97861102121463,6.40422041878671e-07,1.06596006970558e-05,3.27424722699786,2.53661359594448
"ERMAP",41.1020207209388,-0.775176695448779,0.277405702939442,-2.79437908894757,0.0051999482137715,0.0233331009592311,2.53010012995289,3.73574002311824
"SLC2A1-AS1",12.1722632693444,-1.25248940613976,0.483431930991232,-2.59082887547715,0.00957450883576208,0.0381406295702188,1.24024516174161,1.01464543837779
"EBNA1BP2",1689.13674819498,0.517633267805239,0.0798153568502532,6.485384370033,8.85058559892936e-11,3.56285554461693e-09,68.163874089319,65.4907510225666
"CFAP57",50.1709503743842,0.729837209103028,0.273715251192165,2.6664104609598,0.00766660256367405,0.0317956525561159,1.38907458115061,2.12153137115357
"TMEM125",59.8684524447136,-1.08959378494585,0.249967584565308,-4.35894032756546,1.30693740066191e-05,0.000152900754394987,5.55629832460242,4.888746203093
"DPH2",1263.95196854088,0.584435505628914,0.0946601056598328,6.17404239679513,6.65656782691591e-10,2.25464394137474e-08,45.5914121456217,50.7322719188896
"PLK3",170.460322606669,-1.46217952721907,0.144177919176431,-10.1414941731112,3.61526921735338e-24,7.99164774362327e-22,16.7185047802769,17.4334534412184
