"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","STB_wt_1","STB_wt_2"
"RNF223",20.9292009117545,-0.820533927106237,0.374902090203978,-2.18866191612802,0.0286214219625586,0.0887158466736133,1.73634322643826,1.52196815756669
"C1orf159",43.836320305381,-0.460627013090204,0.295433889618383,-1.55915427876336,0.118959869328826,0.255044130260882,3.02619819464953,2.76721483193943
"SDF4",55.3944739966096,0.258818002055025,0.277097362235768,0.934032716756104,0.35028701682156,0.533303094725913,2.2324412911349,2.81333507913842
"UBE2J2",255.337647596086,-0.057834803171901,0.628180721823814,-0.0920671411309593,0.926644695118791,0.958047358537521,16.6688949738073,10.8382580917628
"PUSL1",185.445010151792,-0.127588670221639,0.175849332922776,-0.72555674850168,0.468110544010984,0.641531901892775,10.0707907133419,10.6998973501658
"INTS11",1904.7160783204,0.0370639306133289,0.0863267118878682,0.429344866760037,0.667672270027443,0.793003393887645,103.585275908659,92.0560134091852
"AL139287.1",19.1053169559576,0.180984991513851,0.405793586263655,0.446002592550243,0.655595373205869,0.784473096143775,0.992196129393289,0.83016444958183
"CPTP",63.5195010399974,0.0375025679349952,0.263008833895752,0.142590525875112,0.88661358027588,0.936249674109628,3.81995509816416,2.72109458474044
"DVL1",80.2481059743644,-0.503816818624136,0.223626307059809,-2.25294074408423,0.0242628854196148,0.0784078882501018,5.60590813107209,5.21158793348593
"MXRA8",221.783938302601,0.231221471322151,0.135750740406929,1.70327963316471,0.0885157501854328,0.20623122269535,9.72352206805424,10.8382580917628
"AURKAIP1",637.940038591861,0.0796703479897078,0.0965107010847879,0.825507918751048,0.409083288824454,0.589956442621967,31.7998859470549,32.3302932864924
"CCNL2",1695.55048486972,0.106460303153181,0.101430414482548,1.04958955059282,0.29390686339341,0.476506360506517,78.8299824802968,89.2426783300467
"AL391244.1",529.186465560472,-0.125097281661897,0.101774039684157,-1.2291669078885,0.219009233407298,0.391365244778323,27.3846131712548,31.7307300729055
"MRPL20",1004.4602111799,0.227253667197733,0.0829689407149623,2.73902095458175,0.00616224457102558,0.0267002343861493,46.3851690491363,46.8581711541744
"AL391244.3",14.3085936526524,1.10494862160698,0.581660454951864,1.89964542406175,0.0574796668867534,0.149944766599348,0.297658838817987,0.507322719188896
"VWA1",47.1192974579405,-0.211496671756831,0.275458613205439,-0.76779836105214,0.44260698838022,0.620043220905507,2.9269785817102,2.58273384314347
"ATAD3C",15.1432849982825,0.149609071881665,0.473867568313436,0.315719162664256,0.752215680406406,0.851182539121752,0.545707871166309,0.922404943979811
"ATAD3B",125.660761234827,0.599016173549806,0.200486723670645,2.9878096792776,0.00280984469699196,0.0141843121723152,4.76254142108779,4.75038546149603
"ATAD3A",24.8616833003772,0.487687377260015,0.37041747330228,1.31658847762302,0.187976603151374,0.35235126446107,0.843366709984296,1.15300617997476
"SSU72",2267.3802913292,0.0509522220297835,0.0723749944993034,0.704003121275179,0.481430829815962,0.652541787401153,118.468217849559,112.717884154333
"AL645728.1",14.9927210297334,0.955934739619746,0.560073451357208,1.70680245118432,0.0878587766886977,0.205231847659917,0.595317677635974,0.322841730392934
"AL691432.2",33.4762156371703,-0.216174528681537,0.34128548108712,-0.633412613958675,0.526464229866073,0.688221987357386,1.73634322643826,2.16765161835256
"CDK11B",203.698123010469,0.191561262903831,0.140442752312975,1.36398112219375,0.17257350716278,0.331685422685278,8.43366709984296,10.8382580917628
"SLC35E2B",299.765501297345,-0.172768507178193,0.11802036838189,-1.46388720478442,0.14322476998976,0.291492828601354,16.3216263285196,17.9868964076063
"CDK11A",17.7639814086439,-0.374729004304078,0.407185952871406,-0.920289616234432,0.357421433882489,0.539536368386169,1.09141574233262,1.15300617997476
"AL031282.2",35.2424208849354,-0.431443275884961,0.301127553182012,-1.43275921225375,0.151926661320902,0.304336396286703,2.33166090407423,2.25989211275054
"AL031282.1",27.9617542937993,-0.367383721944044,0.363879116220306,-1.00963123621971,0.312671998480857,0.495592666644326,1.5379040005596,1.98317062955659
"SLC35E2",23.609071080387,-0.469980491770898,0.384276586980179,-1.22302661076549,0.221319645580984,0.394096598971226,1.19063535527195,1.9370503823576
"NADK",729.059297507642,0.406785832431377,0.100837098016903,4.03408904491864,5.48145302731314e-05,0.000530205851406594,30.609250591783,30.7622048817267
"GNB1",311.784782139685,-0.49469098874791,0.12139871026019,-4.07492787763277,4.6028609969006e-05,0.000459192783538777,20.8857285237287,20.8463517339437
"TMEM52",25.2142723019558,-0.117912027222224,0.39005125068581,-0.302298805643884,0.762424288735339,0.857727324827256,1.43868438762027,1.38360741596972
"CFAP74",18.7097340833095,0.0811500465178878,0.446429155689955,0.181775866301722,0.855758624867459,0.918680980943169,1.04180593586295,0.83016444958183
"PRKCZ",8317.94012489769,0.0116748079149974,0.0910006139699718,0.128293726884633,0.897916529303931,0.942184232947162,436.020589061881,429.886824141791
"AL590822.2",28.4085163878107,0.486310612113014,0.370996456402605,1.310822795529,0.189917639180271,0.35451292646984,1.19063535527195,1.10688593277577
"PRKCZ-AS1",25.0586872255628,0.985414082168032,0.428011911858348,2.30230527437787,0.0213179625964462,0.0709847591742129,0.496098064696645,1.01464543837779
"FAAP20",37.4097867099864,0.405240287073268,0.306143534185632,1.3236937639439,0.185604770374992,0.349152001601208,1.43868438762027,1.70644914636265
"RER1",1830.54140280808,0.121078942986189,0.0882463772404194,1.3720556783461,0.170046105548643,0.328919393600384,91.8277517753489,88.089672150072
"PEX10",46.6338585313965,0.233517359618594,0.353768296316579,0.660085604193387,0.50919889632036,0.674790291716085,2.43088051701356,1.89093013515861
"PANK4",231.501697674089,0.197357494133184,0.152988031057429,1.29001917842252,0.197043999347378,0.364205795319958,9.52508284217558,12.3141060021305
"ARHGEF16",425.864542283238,0.577091638031614,0.134398371821109,4.29388861049411,1.75570585084662e-05,0.000198047392306781,16.0735772961713,16.5571687444376
"TPRG1L",111.142218417523,-0.00460364069486534,0.185682525677173,-0.0247930745129416,0.980220015100105,0.987429820136019,5.75473755048108,5.90339164147079
"WRAP73",317.333632369281,-0.0455377003398574,0.137118213687208,-0.332105408284689,0.739809666465679,0.843806616716559,16.5200655543983,17.5256939356164
"TP73-AS1",21.7585509963287,-0.775833193427014,0.422324382925754,-1.83705517557912,0.0662017504711579,0.166928568328315,1.38907458115061,1.9370503823576
"LRRC47",215.699171607394,0.0843140025381664,0.136080004208574,0.619591416303425,0.535526819404039,0.695919752938417,10.8149378103869,10.7921378445638
"CEP104",71.4289297742383,-0.201652095305308,0.242918049872168,-0.830123967368519,0.406468697479993,0.58752485555788,3.62151587228551,4.65814496709805
"DFFB",12.7596355139169,0.710180107555556,0.592344775190563,1.1989303144053,0.230555043161228,0.40507841071969,0.347268645287651,0.553442966387887
"C1orf174",915.790219132551,0.160509147761483,0.0995722093903492,1.61198740837662,0.106964679782424,0.236117154173341,44.5496062097587,43.5836336030461
"LINC01134",20.7323745309565,0.0584743413596434,0.418608578662285,0.139687393761746,0.88890698706625,0.937728402296948,1.19063535527195,0.922404943979811
"RPL22",2060.91496018326,0.329633268927665,0.0819872219746342,4.02054443349293,5.80637958275539e-05,0.000557624868465838,91.1332144847736,89.8422415436336
"RNF207",65.5931537750946,0.0456903404289923,0.240653584225728,0.189859380553151,0.849419323079964,0.915306890516339,3.72073548522484,2.99781606793439
"ICMT",159.259593805,0.229524830892813,0.155540058269689,1.47566378363342,0.140034172928008,0.286573100356165,8.13600826102497,6.64131559665464
"LINC00337",92.1875257194888,0.6818281343239,0.255641987208525,2.66712108511243,0.00765041031575966,0.0317611762697106,3.91917471110349,2.72109458474044
"ACOT7",401.101737193812,-0.589398602912718,0.128820668106436,-4.57534191971225,4.75442850455379e-06,6.25974912825264e-05,29.5178348494504,26.6575028810165
"HES2",2182.01650610239,0.0990470374072569,0.0913661327500104,1.08406730618951,0.278334957449832,0.460118140103369,108.794305587974,108.151979681633
"TNFRSF25",28.3533537297094,-0.946836202678156,0.356120775534663,-2.65875025476011,0.00784310781627895,0.0323057072524076,2.67892954936188,1.98317062955659
"PLEKHG5",18.6053654330234,-1.16935129446669,0.457135879602626,-2.55799500026813,0.0105277605878427,0.0413367975714609,1.68673341996859,1.66032889916366
"NOL9",407.354725581984,0.00371654940227472,0.129078797837947,0.0287928727608751,0.977029785237807,0.985634531144625,18.9013362649422,23.7058070602811
"ZBTB48",128.458168948047,-0.501734298573843,0.194162333717232,-2.58409697168423,0.00976343390449054,0.0387951016072472,9.62430245511491,7.60984078783344
"KLHL21",342.815824006361,0.362574503969524,0.141304570984725,2.5659078219679,0.0102906171056014,0.0405590708688749,14.2876242632634,15.2658018228659
"PHF13",153.923728081371,0.603431521861615,0.176393684984709,3.42093608347672,0.000624059969877704,0.00413850295813635,5.90356696989007,5.71891065267483
