"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","hTSC_wt_1","hTSC_wt_2"
"SYPL1",4364.67983899466,-0.0289160099920067,0.0943980056534588,-0.306320136657964,0.759360908817541,0.953691996289169,192.267385119896,195.619274084389
"NAMPT",1503.51373595049,-0.0654260713765494,0.0952192886461209,-0.687109432414509,0.492013770696,0.86488881256353,63.9071862061638,72.1416744889249
"CCDC71L",22.0352523400333,0.134251571781631,0.484710227237375,0.276972847358313,0.78180095548437,0.960478591789252,0.727768668539943,1.05536409910653
"PRKAR2B",23.2543073880207,0.296332650377071,0.506588793795024,0.58495697892791,0.558576644439708,0.889223973609793,0.909710835674929,0.829214649297987
"HBP1",853.673368663814,-0.0547942914992452,0.104517111888137,-0.524261439197544,0.600096713191164,0.904285831549156,40.7095598964531,36.2592951193029
"COG5",688.157340418043,-0.19276097750153,0.120878541968025,-1.59466663282982,0.110786803414886,0.541343237403277,34.8419250063498,31.698614548164
"DUS4L",147.593142317216,-0.0235540285172852,0.208500410442875,-0.112968739328878,0.910055338927546,0.984009696258898,7.36865776896692,5.76681097011782
"BCAP29",531.660303723206,0.106957469724121,0.124316984113882,0.860360878978057,0.389590143711506,0.816277206774469,21.5601468054958,22.4264871060137
"AC002467.1",21.2432437778905,-0.450470840385834,0.507134404979616,-0.888267165395613,0.374397057325381,0.807637876370376,1.22810962816115,1.09305567407462
"CBLL1",632.19733210894,-0.0505621420188348,0.107143312066482,-0.471911321795438,0.636990086461468,0.916872697104151,28.337492531274,28.4948306758763
"DLD",4623.62012338838,0.00478104183047745,0.0871158750633581,0.0548814074013521,0.95623294429633,0.992199130019608,202.501632021239,201.31070190457
"LAMB1",6361.03168338799,-0.0348506427303888,0.129648049278319,-0.268809618998385,0.788076190820245,0.96148413277557,306.936435956721,260.674932479313
"AC005046.1",55.8901322389343,0.236196991611204,0.387397316685299,0.609702188007353,0.542059104891396,0.883472044113156,2.36524817275482,1.9599618983407
"PNPLA8",1213.39235336142,-0.0756970972489305,0.0960242474060299,-0.788312320000302,0.430514043074115,0.836703562230119,60.3593139470315,50.2805610074325
"RPL7P32",124.380437827041,-0.119801075349358,0.190497827032087,-0.628884209420296,0.529424864512465,0.880121454358371,5.36729393048208,6.18141829476681
"THAP5",988.780789745301,0.151364226237541,0.141404683856167,1.07043290299708,0.284424495599752,0.751435169391265,42.1196116917492,37.8800328429308
"DNAJB9",2023.74131044104,0.415782235966332,0.111001574628981,3.74573277321578,0.000179867978432686,0.00780604612942599,69.5473933873483,72.1039829139568
"IMMP2L",175.9163262614,-0.469655061582752,0.185227104205143,-2.53556337555544,0.0112266612410329,0.159170287811816,9.87036256707298,9.57366004189494
"DOCK4",127.073592061188,0.104725495670837,0.201042886833088,0.520911221085798,0.60242861817435,0.90543025998348,6.04957705723828,4.52298899617084
"ZNF277",1509.63945266965,0.034330520125425,0.0967465463593277,0.354850084238848,0.722701904983037,0.943603076911563,64.407527165785,65.3948825696367
"IFRD1",1478.74739466343,0.337681112926238,0.102305227877385,3.30072196633937,0.000964363971999962,0.0290163164015798,54.173280264442,53.8989522043691
"TMEM168",759.924147004831,-0.154586966433547,0.119995153068013,-1.28827675519466,0.197649641663246,0.670521158050934,37.3436298044558,34.7516321205793
"BMT2",144.15465149748,-0.115711796077652,0.203122522289095,-0.569665021749606,0.568904918318358,0.892991268243055,6.64088910042698,6.74679191928817
"SMIM30",1439.51854538006,0.168831484452776,0.123796153410074,1.3637861904604,0.17263486781256,0.641370326560269,60.0409151545453,55.2935404781885
"MDFIC",90.6362323563487,-0.185990987907509,0.244312565195044,-0.761282939987244,0.44648808810569,0.845341880320789,4.5030686365909,4.22145639642611
"TES",4557.99269476321,-0.0364838067998527,0.0996385043959503,-0.366161726543695,0.714244399730243,0.942073315285084,199.454100721728,207.190587599592
"CAV2",1577.4531224548,0.500139950688766,0.108840611346655,4.59515932978208,4.32418727288643e-06,0.000383957084819099,53.2635694287671,52.1274481808689
"CAV1",7549.49226851934,0.394593695764958,0.146921612537989,2.68574302274915,0.00723687247008547,0.12021903362089,247.714260554283,286.719810782263
"MET",174.981102588987,-0.74827288091883,0.177887643236196,-4.2064354066757,2.59430187892196e-05,0.00165028399430419,12.6449806158815,9.42289374202258
"CAPZA2",6255.95529358814,-0.00355360906959126,0.088456130986836,-0.040173688696831,0.967954654068958,0.993851436161162,281.91938797566,267.007117073952
"ST7",1516.86816465941,-0.0665780452625234,0.0955561817118402,-0.696742419692915,0.485964006644105,0.863134967049888,71.7306993929681,65.8094898942857
"CTTNBP2",194.946642739358,0.096158433682055,0.193734818185859,0.496340485321568,0.619654207031149,0.911122709160261,7.68705656145315,8.51829594278841
"LSM8",1597.56748439917,0.0858509917334421,0.117843563504759,0.728516595901951,0.466297413297706,0.855471182578703,60.1318862381128,73.3854964628718
"TSPAN12",1374.91064207932,0.295413465372898,0.0909745936524999,3.24720840745168,0.00116543016674416,0.0329556064494458,49.0788995846624,53.6728027545606
"ING3",1552.74534244746,0.172609689890629,0.119080924369651,1.44951587170094,0.147193571176711,0.605597649162068,63.8162151225963,60.3442115239126
"FAM3C",672.161364645239,0.0290516122206187,0.15082042254695,0.192623861742431,0.847253555922087,0.973730569468039,32.2492491246762,25.8187288531419
"AASS",571.457060521063,-0.0337449276368994,0.117681517494294,-0.286747896827005,0.774305360487397,0.957546960226375,25.5628744824655,25.3664299535248
