"","hTSC_a6_1","hTSC_a6_2","hTSC_b5_1","hTSC_b5_2","hTSC_d4_1","hTSC_d4_2","hTSC_wt_1","hTSC_wt_2"
"PRLR",7.01048830215336,5.96201423057778,6.51161179710095,7.90611230944506,8.41600206070626,6.72789230499136,6.00409151545453,5.99296041992636
"SPEF2",1.50560822596582,0.94760491082031,0.877451235070341,1.7949011729551,1.42360233862693,1.31830322192398,2.5471903398898,1.99765347330879
"LMBRD2",13.0329212060167,11.4107424677946,9.5596002978716,13.3762873127368,13.5242222169558,11.501059142992,11.7807553219903,10.5536409910653
"SKP2",307.426379639396,308.800750313568,291.960353058668,338.467078328675,344.218671348588,340.622277306083,360.200005385488,338.583417938355
"NADK2",21.6901685053201,21.4790446452604,23.3217301952906,28.5474757984287,25.4154888101925,23.2748706767269,25.1535046064118,23.3310849052479
"SLC1A3",163.123241231985,155.644106602236,164.175744246056,206.242691920983,188.752921839123,178.1527698869,185.490039394118,149.032487423829
"AC008957.2",0.23525128530716,0.31586830360677,0.323271507657494,0.12820722663965,0.125611971055317,0.0909174635809643,0.272913250702479,0.113074724904271
"AC008957.3",0.752804112982911,0.31586830360677,0.554179727412847,0.512828906558599,0.544318541239708,0.681880976857232,0.318398792486225,0.904597799234167
"NIPBL",42.157030327043,40.2732087098632,40.1318485934803,47.1375236611779,46.8532652036333,38.3671696311669,50.4434658381748,40.2546020659205
"RPS4XP6",3.71697030785313,4.26422209869139,4.24871124349849,4.14536699468201,3.55900584656732,3.13665249354327,3.63884334269972,3.95761537164948
"C5orf42",2.54071388131733,2.88229827041178,2.30908219755353,1.75216543074188,3.22404059041981,3.40940488428616,3.54787225913222,2.67610182273441
"AC025449.1",0.70575385592148,1.06605552467285,0.923632879021411,1.32480800860971,1.04676642546098,0.863715904019161,1.72845058778237,0.791523074329897
"NUP155",163.405542774353,173.174797452412,144.687090498704,202.781096801713,199.262456750752,177.607265105414,205.731105487885,183.595661669568
"WDR70",28.7947573215964,23.3347709289501,25.6308123928442,26.239745718915,29.6444251690549,24.6840913622318,29.0197756580302,26.6102519274718
"EGFLAM",0,0,0,0.0427357422132166,0,0,0.227427708918732,0.113074724904271
"LIFR",26.7715962679548,24.7561782951806,21.9824625207096,26.3679529455546,28.5976587435939,25.5023485344605,35.6606647584572,31.3593903734511
"LIFR-AS1",0.564603084737184,0.829154296967771,0.554179727412847,0.299150195492516,0.879283797387221,0.272752390742893,0.500340959621211,0.904597799234167
"OSMR-AS1",0.423452313552888,0.157934151803385,0.138544931853212,0.0854714844264331,0.376835913165952,0.363669854323857,0.454855417837465,0.414607324648993
"OSMR",16.6557909997469,16.3856682496012,16.0712120949726,17.6071257918452,23.1544733311968,23.2294119449364,33.8867286288911,33.0555112470152
"RICTOR",25.265988041989,26.7303551927229,25.2613592412356,27.1371963053925,26.3366432645982,25.4114310708795,28.0190937387878,24.4995237292587
"FYB1",206.268326957318,200.18153741079,200.751606255304,215.003519074693,215.968848901109,197.109061043531,237.798412445426,197.503852832793
"GOLGA5P1",0,0.197417689754231,0.184726575804282,0.0427357422132166,0,0.0454587317904822,0.272913250702479,0.150766299872361
"C9",0.282301542368592,0.236901227705077,0.0923632879021411,0.427357422132166,0.544318541239708,0.0909174635809643,0.181942167134986,0.188457874840452
"DAB2",553.734475355993,518.813688674119,339.619809616173,370.689827957441,498.805137060665,464.224569044404,413.099690479985,370.168957761615
"KRT18P56",0.188201028245728,0.0789670759016925,0.0923632879021411,0.0427357422132166,0.0418706570184391,0.318211122533375,0.181942167134986,0.301532599744723
"TTC33",5.7401313614947,7.42290513475909,5.12616247856883,6.11121113648997,5.82002132556303,5.72780020560075,7.27768668539943,6.82217506922435
"PTGER4",0,0,0,0.0427357422132166,0.0837413140368782,0,0.136456625351239,0.113074724904271
"PRKAA1",35.287692796074,33.9953261756786,33.389328576624,39.3168828361592,42.9592941009185,39.3672617305576,42.8473803602892,37.2392760684732
"RPL37",428.533741315522,428.475353842583,435.446720814644,378.467733040246,342.418233096795,451.814335265602,399.181114694159,529.566628301669
"CARD6",0.141150771184296,0,0.230908219755353,0.0854714844264331,0,0.0454587317904822,0,0
"PLCXD3",0.988055398290071,0.513285993361001,0.646543015314988,1.06839355533041,3.14029927638293,4.27312078830532,2.41073371453856,2.60071867279823
