"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","hTSC_wt_1","hTSC_wt_2"
"DDIT4",234.125883979253,0.995532805807967,0.245941710287487,4.04784046042563,5.16923598618094e-05,0.00297572836873912,5.00340959621211,6.70910034432007
"P4HA1",674.866950152506,-0.507238810822556,0.112139433469974,-4.52328672552435,6.08866689409923e-06,0.00052358776852899,37.3891153462396,38.5961727673245
"KLLN",124.710618328531,0.956491252679689,0.233707292763033,4.09268894167338,4.26399550498988e-05,0.00251702209237348,2.91107467415977,3.46762489706431
"FAS",37.1111511864306,2.9632331249932,0.528702080244453,5.60473135196121,2.08578221085063e-08,3.77364051680002e-06,0.181942167134986,0.339224174712813
"PCGF5",35.2351952002668,1.27748399719326,0.382681011553477,3.33824767528278,0.000843085636096279,0.0263341390055095,0.864225293891183,0.640756774457535
"CYP2C18",248.896661166032,0.958751555400057,0.219968957943434,4.35857661173538,1.30911095573665e-05,0.000944933923542348,7.09574451826445,5.69142782018164
"SORBS1",177.934643551795,0.825956921499658,0.245265245389781,3.3676068543141,0.000758236369447674,0.0243386886239068,5.64020718118456,4.2591479713942
"BLNK",40.9485856425662,-1.51497553134277,0.398335925058676,-3.80326110711609,0.00014280370046577,0.00654407352364684,4.00272767696969,3.01532599744722
"ABCC2",529.097924318755,1.09460277522013,0.1789242596977,6.11768788128285,9.49427917982466e-10,2.44934820840995e-07,13.3272637426377,11.7220798150761
"SFXN3",747.213087677713,-1.04585716213093,0.162142751441499,-6.45022458810486,1.1168451953771e-10,4.09441326757854e-08,52.3993441348759,54.27586795405
"GSTO1",1668.33091857009,-0.817164287525243,0.17471914954833,-4.67701616930777,2.910793137661e-06,0.000279656960005209,94.2915281177064,121.593020847059
"BAG3",605.935274819925,0.525916728682714,0.136627830204314,3.84926502818831,0.000118472769230799,0.00551988009416143,17.8758179210124,21.9364966314286
"INPP5F",533.002164577421,-0.590259665805492,0.178206432645978,-3.31222423927925,0.000925573247698627,0.0281531897678812,35.0693527152685,27.4017750018017
"MGMT",224.341837174261,0.844037810606843,0.209694790647603,4.02507762830059,5.69565235559393e-05,0.0031612005165649,5.32180838869833,6.93524979412862
"CCKBR",1237.19595267721,1.20822459577221,0.189392057499098,6.37948925486467,1.77679550721385e-10,5.6255768661355e-08,23.6979672693319,30.8317083238979
"OLFML1",285.17041065607,-0.512428556136033,0.156619605520033,-3.271803389075,0.0010686386300874,0.0310150099078074,16.5567372092837,15.6420036117575
"STK33",81.7054580216401,-0.834558694734782,0.234991089183804,-3.55144825973384,0.000383117310275721,0.0145032805691605,5.64020718118456,5.0506710457241
"AMPD3",1707.95229381161,0.69443974175736,0.136239936242065,5.09718193440368,3.44746971367848e-07,4.73008222958845e-05,54.3097368897933,47.9436833594109
