"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","Day18Rep1","Day18Rep2","Day0_Rep_1","Day0Rep1","Day0Rep2"
"CCDC102A",476.504512229034,-0.124626695427789,0.428177166456593,-0.291063384951479,0.771002842703695,0.86174832851949,25.5364733300771,11.6818828348154,23.1929111960934,25.2079242238511,22.9022535207641
"CCDC102B",914.202601849202,0.962899889254782,0.567729440645529,1.69605417707408,0.0898756204761815,0.203277845961956,83.1559522920709,23.3250839383897,30.9759770826531,31.9802023735424,32.9304592044123
"CCDC103",820.578254536252,-0.419725049674109,0.359730641358143,-1.16677591903058,0.243300874293839,0.409043914002401,36.8804644179978,19.2635021580731,43.6664379257986,45.8539666385351,42.5521160089937
"CCDC105",1147.42861961534,-0.0915183797254952,0.464028558558667,-0.197225748367219,0.843650882043142,0.908846780293833,65.8651112505706,25.0657618442397,52.8873392773451,59.8217903222734,57.5266663879548
"CCDC106",1392.12388917839,0.230045131045555,0.319341340024488,0.720373788836466,0.471294883801093,0.636645935191891,46.5753290482032,78.2918240320081,58.6386811372928,62.5024837565263,67.3515976320696
"CCDC107",927.044441618229,-0.0794476882915925,0.282420006355201,-0.281310411811515,0.778472325162883,0.86694424754868,44.8262555324445,28.8565715058686,45.1042733907855,43.596540588638,48.3793166089514
"CCDC110",886.639881518958,0.389251028261396,0.453545119146738,0.858241025708094,0.390759386569056,0.564394599592468,26.0362086202938,58.370732442836,42.322374338963,41.3861442481137,30.4911659300114
"CCDC112",599.194294303025,-0.634986035000153,0.223758980554189,-2.83781251339039,0.00454238554614125,0.0191579636963479,16.8910528093269,19.921091589172,31.2572927171071,33.5321827828467,36.3861246764803
"CCDC113",536.327063869548,-0.759120772296931,0.506108189100995,-1.49991797928693,0.133635650095824,0.271178693440101,8.39555287564177,22.5127675823264,30.1007728865741,33.2029748172367,29.5425518788555
"CCDC114",582.277333421413,0.774539720131778,0.325658460816348,2.37838046089818,0.0173888739878328,0.0572231079242701,25.5864468590987,37.9080966162885,24.1931445630409,23.1856467208182,18.2269414114957
"CCDC115",399.3271395702,-1.3730521297088,0.241029622255469,-5.6966115486564,1.22211942471038e-08,2.17699157503837e-07,9.29507639803196,7.50425586077548,26.8812717367121,24.0792111989025,25.6125793812096
"CCDC116",645.508318900945,-0.135137280395395,0.734834109527212,-0.183901752304805,0.854090530114996,0.915357000864375,7.39608229520823,42.2404505152929,37.1961783333574,30.7104002204753,29.0004867067664
"CCDC117",1182.0881377422,0.28340767946088,0.414585571224287,0.683592722785712,0.494232381225248,0.655601945445262,33.7821056186538,74.3462874454148,53.7938007661413,53.8490172319207,49.8022376856853
"CCDC12",513.12486010704,-0.380635110325202,0.542505934350491,-0.701623864780232,0.482913764719092,0.646887757813654,9.39502345607532,26.0328051252675,22.3802215854487,26.5717857956639,32.9304592044123
"CCDC120",1592.07026561011,0.776479612023922,0.220737297308658,3.51766385423378,0.000435363474685542,0.00261962180246617,74.8103729454508,98.90918678352,58.2323363319705,61.608919278442,59.4916526367778
"CCDC121",1655.93754821165,0.128023876836616,0.225071729749657,0.568813670997307,0.569482596028779,0.716916423308319,62.8666995092699,80.032501937858,85.1448653613996,72.2846633060804,73.6531052576053
"CCDC122",1262.0508458889,0.182078963187068,0.179981921289244,1.01165140300094,0.311704759051961,0.483578178793616,51.0229731311324,60.2661372736505,58.3261082101218,57.8465425286135,57.1878756553991
"CCDC124",1268.99660374147,-0.0866754972924859,0.323731255741119,-0.267739045135013,0.788900192978387,0.873832986479063,37.6800408823446,62.3936324919116,67.2031793417802,65.6534742845076,55.2228894065762
"CCDC125",425.291087089315,-0.256184588509019,0.211421624207457,-1.21172367996586,0.225618171462687,0.388496634418142,16.1414498740017,15.0858751840332,20.3484975588367,23.279706139564,22.2246720556527
"CCDC126",576.101169294152,-0.5017912480969,0.229007824934531,-2.19115328587725,0.0284407017737636,0.0847946715024623,16.8410792803052,20.8881348701998,31.9449531568834,29.9108951611367,32.6594266183678
"CCDC127",506.65767700873,-0.0714639097428277,0.229911171321991,-0.310832698263028,0.755927810501349,0.851188078316912,18.3902586799772,21.8938598824687,26.0060675406331,25.8663401550711,22.9022535207641
"CCDC129",1624.12033159811,0.503860550342245,0.526850447571969,0.95636352339516,0.338888606754216,0.511968486586711,124.434087263976,38.1788687349763,62.5145854342141,67.9109003344047,70.9427793971598
