"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","Day_12_Rep_1","Day_12_Rep_2","Day0_Rep_1","Day0Rep1","Day0Rep2"
"FDCSP",874.534831343246,0.115147228571648,0.211695946889748,0.543927412231548,0.586491424561752,0.745281498093541,31.3477959032783,39.8415633829471,37.1336637479232,33.2970342359824,31.5075381276784
"FDFT1",891.794025824397,-1.5760618993414,0.284528373052575,-5.53920820771772,3.03842237763147e-08,5.68984260136153e-07,11.432725564725,20.1349836451453,50.1366975182397,49.475254260245,46.7531210926841
"FDPS",554.358342489749,-0.351423789236422,0.453865067290805,-0.774291335823945,0.438758526164623,0.627080110874342,9.36745901109727,27.4714005584031,22.1301632437118,25.1138648051054,25.8836119672541
"FDX1",733.12606577559,-0.0633240169306476,0.192016411798613,-0.329784398830772,0.741562876448098,0.850090697807384,29.3562888694229,26.1058631037456,30.2883166428767,27.9826770768496,31.5752962741896
"FDX1L",916.720197104812,-0.989857617377478,0.21722749322813,-4.55677871464429,5.1944097774363e-06,6.06119390568473e-05,18.8455573018532,25.8113354174469,45.4168463179566,44.4430753573494,47.9727677298846
"FDXACB1",721.236216806464,-0.268121378016487,0.270990733668422,-0.98941160971413,0.322461796600812,0.517687402999877,30.8314792648713,19.1442996094134,30.4133458137452,30.5693110923567,32.1851195927898
"FDXR",1020.33338767479,-1.08742192467186,0.20266684141119,-5.36556408093216,8.0696623215039e-08,1.38644961429707e-06,27.0328639965917,20.3491855988171,49.636580834766,55.4950570599706,50.7508517368412
"FECH",957.654498176068,-1.00251669649396,0.175524935505546,-5.71153433901864,1.11962099138406e-08,2.27722912354723e-07,22.2753749712707,24.1512702764908,51.980877788549,45.2425804166879,47.0241536787287
"FEM1A",801.98494115844,0.497285014277174,0.283059374043206,1.7568222778634,0.0789481065910703,0.195732674509974,27.954857993747,47.4457327382946,28.4128790798503,27.183172017511,27.3742911904991
"FEM1B",1194.884636912,0.0747701714020806,0.151637963629095,0.493083457550036,0.621953618941667,0.770301133655334,47.2798521741209,48.3560910413996,43.8852389748183,47.7821847228222,49.3279306601073
"FEM1C",812.438484115234,0.341003993457254,0.207655777191109,1.64215991517261,0.100556867468376,0.232044169323104,34.7407338128096,37.5388923809757,31.7261521078637,31.5099052798138,25.1382723556316
"FEN1",826.392650747838,-1.04026148895375,0.168859216156688,-6.16052539287207,7.25039874443102e-10,1.80681429714824e-08,19.1774751408291,20.0814331567274,41.0095680448445,41.950500760588,42.3488415694603
"FER",1118.29142464801,-0.00898662386034258,0.195919758109911,-0.0458689003449111,0.963414742005695,0.980479325631045,49.1975996882038,37.4585666483488,47.886172442608,44.8663427417051,42.213325276438
"FER1L5",1522.08788298401,0.179020191542812,0.130894872543246,1.36766389748129,0.171417305510842,0.338620004754788,64.9083773997291,62.2792180300639,58.6074238445757,60.0569388691377,55.4261638461096
"FER1L6",2652.42545899595,0.176724345857567,0.130963202746284,1.34941985345255,0.177202147423936,0.345899423222836,105.254834715243,115.883256936422,93.3655333459988,101.207934570387,109.226132175952
"FERD3L",1695.99016698383,0.459734206318241,0.180104920015162,2.55259104681614,0.0106924959371947,0.0417530550982088,87.2575118907722,70.2582408043369,52.856081984628,58.6930772973249,66.1319509948692
"FERMT1",2142.26270005946,0.423325883629523,0.151682218408567,2.79087349902324,0.00525660124048716,0.0237756528426893,87.5894297297481,108.680716244209,78.9871786961295,74.6361487747232,73.4498308180719
"FERMT2",1627.96204203289,-1.76357215789069,0.133174115343011,-13.2426046409118,4.97915912191431e-40,2.75461308793219e-37,26.5165473581848,25.3561562658945,87.2078466807287,90.438131124003,95.5389865807024
"FERMT3",621.93349523646,0.486719192239271,0.246701416595925,1.97290797497314,0.0485060478605538,0.136534758645719,33.5237017365646,24.900977114342,22.9115955616395,22.3391119521068,19.2433136091627
"FES",954.830107441018,-0.0151181449722622,0.175876550388893,-0.0859588440803132,0.931499133748602,0.961958297626503,36.8797598862097,36.8695112757515,42.4161462171143,36.1658465077266,36.8604317020582
"FETUB",632.638250133492,-0.268277075264206,0.210592573732948,-1.27391517425684,0.202693480030633,0.379081485758378,23.1604892085397,20.6704885293247,28.5379082507187,28.6410930080696,24.5284490370314
"FEV",732.829144590908,-0.242389112127348,0.181875428618778,-1.33272049978456,0.182623543342299,0.353184408359275,24.7831986435329,26.4807165226712,31.7574094005808,30.0990139986281,32.2528777393009
"FEZ1",2022.13787117834,0.0814003906246018,0.135791365251467,0.599451890581257,0.548871582640429,0.719565401046189,87.6263094896343,74.9171332966977,80.5187860392678,81.8316943087703,75.6180915064283
"FEZ2",1005.81361104667,-0.181900510088565,0.242327332076969,-0.750639676216088,0.452869536274816,0.639739755664206,44.1819523436792,28.2211073962542,43.0412920714564,42.4207978543165,41.6712601043489
"FEZF1",865.333395141765,0.256572985352767,0.240982575623528,1.06469517428345,0.287013894562875,0.480184547852515,30.2045233468058,44.1791529448003,31.0072343753702,31.462875570441,34.285622134635
"FEZF2",1500.23547709468,0.686699410855832,0.239530644883534,2.86685409789516,0.00414574090131312,0.0196208367028086,58.7863372586183,91.7855371483487,43.8852389748183,47.4059470478393,54.0710009158869
"FFAR1",2160.60852294359,0.482276562519614,0.143123616180212,3.36965048390309,0.000752635826157901,0.00474545343598028,111.89319149476,90.5538759147361,74.8299587647543,75.7178320902989,73.991895990161
"FFAR2",919.210024482963,0.128485837617157,0.19498665964683,0.658946811283793,0.509929924444017,0.687828152351759,35.1095314116716,40.1628663134548,38.6340137983443,36.4950544733366,31.5752962741896
"FFAR3",1074.24064366534,0.287217220091682,0.301570950247171,0.952403472072744,0.340892399272589,0.536729511068071,31.7903530219128,61.6366121690486,40.4781940686536,39.0346587794709,39.4352412694814
"FFAR4",711.336436345473,0.251165626462472,0.267342569621465,0.939489834402735,0.347479309084549,0.542819028786133,24.1931224853536,36.8159607873336,25.8810383697646,24.9257459676139,28.8649704137441
