name	length	AN_naive_hTSC	BT5_hTSC_1	BT5_hTSC_2	H9_naive_hTSC
AC002044.3	541	9	6	3	31
AC002056.1	760	16	16	16	18
AC002056.2	284	0	0	0	1
AC002059.1	477	6	17	18	12
AC002064.1	733	0	0	0	0
AC002064.2	289	0	0	0	1
AC002064.3	346	0	2	0	4
AC002066.1	1213	6	10	6	7
AC002069.1	1159	0	0	0	0
AC002069.2	883	0	0	0	0
AC002070.1	1013	0	2	0	0
AC002075.1	676	2	0	0	0
AC002075.2	252	16	8	9	16
AC002076.1	527	1	3	6	5
AC002076.2	122	0	1	0	1
AC002090.1	2138	0	0	0	0
AC002091.1	557	5	0	0	7
AC002091.2	402	5	0	0	8
AC002094.1	1050	0	0	0	0
AC002094.2	1121	0	0	0	0
AC002094.3	851	0	0	0	0
AC002094.4	307	2	0	2	1
AC002094.5	629	4	2	4	14
AC002101.1	1990	0	0	0	0
AC002115.1	568	2	0	0	0
AC002115.2	603	1	0	0	0
AC002116.1	1130	0	0	0	0
AC002116.2	643	43	64	66	55
AC002127.1	225	0	0	0	0
AC002127.2	792	0	0	0	0
AC002128.1	1016	36	9	18	19
AC002128.2	618	16	33	20	8
AC002306.1	937	30	52	37	26
AC002310.1	1827	84	62	61	36
AC002310.2	1918	6	3	6	2
AC002310.3	723	3	3	10	0
AC002310.4	377	0	0	0	0
AC002310.5	1515	0	0	0	0
AC002310.6	1377	0	2	0	0
AC002347.1	541	6	2	1	10
AC002347.2	171	0	3	3	0
AC002350.1	375	21	18	14	12
AC002350.2	1828	54	33	21	42
AC002351.1	594	0	59	35	0
AC002366.1	1190	1	0	0	0
AC002367.1	405	0	3	0	6
AC002368.1	388	0	0	0	0
AC002375.1	581	0	0	0	0
AC002378.1	298	0	0	0	0
AC002381.1	280	3	0	0	2
AC002383.1	671	1	0	0	0
AC002384.1	3542	14	46	42	0
AC002384.2	790	2	5	5	0
AC002386.1	398	0	0	0	0
AC002398.1	427	8	9	3	4
AC002398.2	660	0	0	0	0
AC002400.1	726	5	7	0	5
AC002401.1	468	0	0	0	0
AC002401.2	430	0	0	0	0
AC002401.3	440	0	0	0	0
AC002401.4	583	11	42	26	10
AC002407.1	3863	0	1	0	0
AC002428.1	771	0	0	0	0
AC002428.2	414	0	0	0	0
AC002429.1	148	0	0	0	0
AC002429.2	4025	8	5	9	15
AC002451.1	1043	0	0	0	0
AC002451.2	2398	0	0	1	0
AC002454.1	667	0	0	0	2
AC002456.1	616	2	0	0	0
AC002456.2	380	0	0	0	0
AC002460.1	479	0	0	0	0
AC002463.1	1188	0	0	0	1
AC002464.1	1530	0	0	0	0
AC002465.1	349	0	0	0	0
AC002467.1	984	52	164	162	39
AC002470.1	395	8	4	13	15
AC002472.1	563	2	0	0	0
AC002472.2	958	5	2	3	0
AC002472.3	621	0	0	0	0
AC002472.4	272	0	0	0	0
AC002480.1	1282	27	63	62	24
AC002480.2	2432	76	567	472	83
AC002480.3	557	42	70	69	39
AC002480.4	2592	355	448	375	126
AC002486.1	391	0	0	0	0
AC002486.2	590	1	0	0	0
AC002487.1	994	0	0	0	0
AC002504.1	691	0	0	0	0
AC002511.1	1000	0	0	0	0
AC002511.2	450	0	0	0	0
AC002511.3	420	0	0	0	0
AC002519.1	2792	7	4	0	1
AC002519.2	1458	3	0	0	0
AC002524.1	547	7	20	12	9
AC002525.1	1622	1	0	0	0
AC002540.1	1349	0	0	1	5
AC002542.1	193	0	0	0	0
AC002543.1	1954	12	4	4	22
AC002545.1	181	0	0	0	3
AC002546.1	2504	20	13	13	27
AC002546.2	584	3	0	0	0
AC002550.1	1379	0	12	2	4
AC002550.2	394	18	15	26	20
AC002551.1	592	7	4	1	1
AC002553.1	802	28	26	15	32
AC002553.2	340	2	6	0	9
AC002553.3	341	0	0	0	0
AC002553.4	331	12	5	1	7
AC002558.1	803	32	20	3	32
AC002558.2	673	7	8	1	15
AC002558.3	401	12	4	2	15
AC002563.1	451	5	2	1	2
AC002984.1	448	2	0	0	0
AC002985.1	685	0	0	0	0
AC002985.2	957	0	0	0	0
AC002996.1	784	0	0	0	0
AC003001.1	1135	0	0	0	2
AC003001.2	831	0	0	0	0
AC003002.1	1843	626	629	550	825
AC003002.2	456	0	0	0	0
AC003002.3	521	1	1	3	2
AC003002.4	1210	3	6	0	4
AC003005.1	603	0	0	0	0
AC003005.2	664	2	1	4	4
AC003006.1	833	0	0	0	0
AC003009.1	686	0	0	0	0
AC003029.1	603	12	4	9	0
AC003035.1	544	0	0	0	0
AC003035.2	696	0	0	0	0
AC003043.1	337	0	0	0	0
AC003045.1	713	0	0	0	0
AC003070.1	457	2	1	2	2
AC003070.2	386	0	0	1	0
AC003071.1	789	5	6	3	5
AC003071.2	315	0	0	0	0
AC003072.1	612	54	57	36	47
AC003075.1	1607	2	3	1	2
AC003080.1	767	1	0	4	1
AC003084.1	435	0	0	0	0
AC003087.1	499	0	0	0	0
AC003092.1	1064	1	10	1	0
AC003092.2	446	0	0	0	0
AC003098.1	494	0	0	0	0
AC003101.1	459	3	1	5	5
AC003101.2	442	2	2	4	13
AC003101.3	768	0	0	0	0
AC003102.1	2012	104	41	63	162
AC003102.2	1469	0	0	0	9
AC003659.1	465	0	0	0	0
AC003666.1	611	0	0	0	0
AC003669.1	611	0	0	0	0
AC003681.1	49287	311	152	103	366
AC003682.1	462	3	0	0	5
AC003684.1	1715	0	0	0	0
AC003685.1	466	0	0	0	0
AC003685.2	395	2	0	2	2
AC003686.1	1034	0	0	0	0
AC003687.1	427	0	0	0	0
AC003688.1	489	0	0	0	0
AC003688.2	415	0	0	0	0
AC003956.1	356	4	2	9	5
AC003957.1	2673	0	0	0	0
AC003958.1	421	0	0	0	0
AC003958.2	4067	0	0	0	0
AC003965.1	667	9	12	0	11
AC003965.2	265	3	1	0	0
AC003973.1	546	2	0	0	0
