"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","AN_naive_TSC","H9_naive_TSC","AN_STB","H9_STB"
"LINC00858",161.6845650198,-3.95864907783757,0.441043536915369,-8.97564241735434,2.81703021304698e-19,6.96938540184857e-18,1.18745549089246,1.0035713760034,12.9723081325037,8.76174104063986
"LINC00885",158.154824553298,-2.7802465852983,0.566254410970384,-4.90988949743248,9.11277290657927e-07,5.00484075483333e-06,1.1465087498272,3.34523792001135,9.49392898025504,10.2384389688376
"LINC00888",304.190977767901,-1.65474637578932,0.427554870842449,-3.87025499798149,0.000108721572197286,0.000391681744584451,11.0556200876195,5.44795889830419,14.036282932015,19.0001800094774
"LINC00910",55.7296147243186,-2.96491861960275,0.572659848641359,-5.17745154761077,2.24937335768502e-07,1.39254938083811e-06,0.655147857044117,0.764625810288308,3.27376861388105,3.79019134904084
"LINC00967",27.8615377814279,-4.80399717844907,0.998909270158972,-4.80924276304347,1.51503121796972e-06,7.97334123302073e-06,0.163786964261029,0.0477891131430192,1.8824169529816,1.96893057093031
"LINC01002",26.6816088858627,-3.08204501853023,0.845800642092875,-3.64393790350398,0.000268498224637698,0.000883820567347569,0.204733705326287,0.430102018287173,1.63688430694052,1.77203751383727
"LINC01003",49.4074207358243,-2.1440324880113,0.623270166370074,-3.43997291013966,0.000581772414795937,0.00177456091459567,0.941775044500918,1.09914960228944,2.16887170669619,3.59329829194781
"LINC01011",102.65001904968,-3.82590424819442,0.708537974474247,-5.39971657981117,6.67462603455128e-08,4.49365972499088e-07,1.22840223195772,0.286734678858115,8.75733104213181,4.97154969159902
"LINC01024",46.8598847405374,-1.71395863788323,0.577985640699337,-2.96540003279219,0.00302289571677744,0.00766350356623398,1.31029571408823,1.14693871543246,2.82362542947241,2.31349342084311
"LINC01089",222.036894364743,-1.66357269470172,0.407148281450673,-4.08591358601441,4.39037176309707e-05,0.000171519954711785,5.44591656167922,6.49931938745062,15.2230240545469,8.90941083345963
"LINC01118",69.8371702409439,-9.91011111498856,1.53359011801389,-6.46203375894393,1.03305044010161e-10,1.02885294395672e-09,0,0,4.86973081314806,5.11921948441879
"LINC01128",347.11767504009,-1.42936859272449,0.31383743865102,-4.5544871856857,5.25135256297971e-06,2.47708134439057e-05,11.7926614267941,9.31887706288875,20.7065864827976,15.5053282460762
"LINC01136",19.9044321706733,-3.017401173749,0.927002625337604,-3.25500822896817,0.00113389080367963,0.00321443107250024,0.204733705326287,0.286734678858115,1.10489690718485,1.42747466392447
"LINC01137",88.1552958644476,-3.07398730381066,0.472973224572672,-6.49928398502471,8.07031911327764e-11,8.17281895817467e-10,1.18745549089246,0.907993149717366,5.56540664359778,5.70989865569789
"LINC01194",123.82192001409,-1.38612855906957,0.376764097356874,-3.67903568517733,0.00023411751120525,0.000782125032385838,3.76710017800367,3.91870727772758,6.75214776612966,6.05446150561069
"LINC01226",150.554756774145,-3.49454816351861,0.491122803511735,-7.11542640360235,1.11567367444188e-12,1.42127591481355e-11,0.941775044500918,1.81598629943473,11.4991122562572,8.26950839790728
"LINC01273",172.968532394245,-3.29544908734099,0.715576748884875,-4.60530487117766,4.11862020936237e-06,1.98836669870403e-05,2.74343165137224,0.860204036574346,17.1054410075285,5.36533580578508
"LINC01291",103.184323548252,-3.07108392153216,0.493599420807759,-6.22181427301198,4.91438581891041e-10,4.51087452837019e-09,1.59692290154504,0.860204036574346,6.99768041217074,6.20213129843046
"LINC01338",85.1329895823786,-6.74339860233809,0.857710134935813,-7.86209504548147,3.77761212457484e-15,6.42679615435381e-14,0.0818934821305146,0.0955782262860385,5.56540664359778,6.49747088407001
"LINC01451",85.5867880029363,2.8863765675845,0.594122197431424,4.85822037968487,1.18445532759361e-06,6.37553912811268e-06,6.30579812404963,10.5136048914642,0.53198739975567,0.935242021191895
"LINC01483",57.7624189224531,-8.19558036382894,1.51691616648333,-5.40279057268456,6.56120490367413e-08,4.4285623714957e-07,0.0409467410652573,0,3.80575601363672,4.43009378459319
"LINC01484",21.9563692427196,-8.23817274109884,1.74593055250021,-4.71849967302628,2.37590350361415e-06,1.20719611415881e-05,0,0,1.02305269183783,2.11660036375008
"LINC01554",76.7071089418764,-6.55976479333152,0.906533996235689,-7.23609353931615,4.61792885052234e-13,6.13683797846523e-12,0,0.191156452572077,5.72909507429184,5.11921948441879
"LINC01569",134.045681750001,-3.37912082237491,0.400468010818156,-8.43792945027337,3.23008485645674e-17,6.74343898423682e-16,1.39218919621875,1.2425169417185,8.88009736515235,8.61407124782009
"LINC01588",371.283492429032,1.46616295573078,0.308917122096125,4.74613691135762,2.07338396654584e-06,1.06908103549672e-05,35.5827179857086,25.7105428709444,7.61151202727344,6.49747088407001
"LINC01607",26.6469232341703,-4.16180210463996,0.948644487063888,-4.38710408524166,1.14869827480746e-05,5.02285112829587e-05,0.0818934821305146,0.238945565715096,1.8824169529816,1.72281424956402
"LINC01611",21.5944684121134,-6.74833289207171,1.66835168204143,-4.04491029362246,5.23431630081474e-05,0.000201458012671079,0,0.0477891131430192,1.18674112253188,1.87048404238379
"LINC01687",72.0525408529188,1.61818495229286,0.533592959474664,3.03262050887255,0.00242440273736484,0.0063081176787421,7.2885199096158,4.92227865373098,1.06397479951134,1.47669792819773
"LINC01762",45.7221866060076,-4.71465521674967,1.07398324023828,-4.38987783059227,1.13414360282194e-05,4.96905816847112e-05,0,0.382312905144154,3.4374570445751,2.85494932784894
"LINC01842",59.8184365413487,-2.88368030879802,0.76876320884644,-3.7510644052869,0.000176085457171043,0.000605525360123648,1.26934897302298,0.334523792001135,4.78788659780103,2.75650279930243
"LINC02035",391.430726376787,-1.15879242628752,0.328317594816455,-3.52948621877953,0.000416367389314264,0.0013127772189051,11.3831940161415,15.7226182240533,21.770561282309,16.8835796457274
"LINC02170",100.309660420791,-5.94284942234002,1.03708366179432,-5.73034716606948,1.00225295335803e-08,7.67253909233482e-08,0.122840223195772,0.238945565715096,1.5550400915935,12.5519323896807
"LINC02434",290.500725330484,-1.14463471612104,0.285240620270956,-4.01287416579633,5.99838928985387e-05,0.000228080093767612,9.66343089140073,10.6091831177503,13.5452176399328,15.0623188676168
"LINC02533",35.0394274307687,-5.03889321100633,1.11916868914799,-4.50235363074926,6.72050371058378e-06,3.0993932792086e-05,0,0.238945565715096,2.98731386016646,1.87048404238379
"LINGO1",38.1096413109622,4.08014515636237,0.889266997770351,4.58821160190637,4.47059371029072e-06,2.13929061277686e-05,4.2175143297215,3.87091816458456,0.245532646041079,0.0492232642732576
"LIPT1",166.073012671614,-2.47715088892495,0.399675642678379,-6.19790306040322,5.72203630262106e-10,5.19813812638932e-09,3.52141973161213,2.15051009143587,9.86222794931666,10.2876622331108
"LIX1L",16.4750081165198,5.67343393270772,1.70992289268054,3.31794723434214,0.000906816133228751,0.00263042260342225,2.04733705326287,1.57704073371964,0,0.0492232642732576
"LMF2",434.109266976569,1.90110626081464,0.323933153283107,5.86882275415983,4.38900326554514e-09,3.55307934084131e-08,38.6537235656029,38.0879231749863,5.11526345918914,8.02339207654099
"LMNB1",125.371119121069,2.57355548080736,0.417060716711938,6.17069740132083,6.79894321220083e-10,6.11350627423167e-09,11.3422472750763,12.7119040960431,1.39135166089945,1.18135834255818
"LMNB2",399.221794430659,2.15174357710426,0.283518842634671,7.58942000859145,3.21340574430286e-14,4.92275907773063e-13,36.9339604408621,36.1763586492656,5.89278350498589,4.57776357741296
"LMO4",2742.0545801717,1.93229765284603,0.203859015651208,9.47859797455358,2.5772241782593e-21,7.77041895750342e-20,268.16020723637,219.782131344746,40.676575027472,40.7568628182573
"LMO7",132.72804632603,1.49519338583077,0.427655980414547,3.49625272253041,0.000471841589145975,0.00147190555595949,12.9801169176866,9.03214238403064,2.12794959902268,2.85494932784894
"LMX1B",33.1277210898403,3.84486222900296,0.867132087587172,4.43399833086725,9.25013422745536e-06,4.14050648071015e-05,3.56236647267739,3.39302703315437,0.204610538367566,0.0984465285465153
"LNP1",20.286926056947,3.62074898726472,1.07735788480644,3.36076714927022,0.000777263227350699,0.00229793524172746,2.2111240175239,2.00714275200681,0.163688430694052,0.0492232642732576
"LNX1",1151.41083431057,-2.78069421924574,0.317210315979615,-8.7660901274864,1.84977961772924e-18,4.26545000353034e-17,19.7772759345193,13.0942170011873,59.255211911247,84.5163447571834
"LNX2",108.580674847142,-1.30882983010082,0.402262449059705,-3.25367141069277,0.00113923971569293,0.00322765777449103,3.31668602628584,3.67976171201248,5.15618556686265,5.90679171279092
"LONRF3",48.6096471735715,-3.24276802172327,0.642706291678929,-5.04548977302253,4.52361091676384e-07,2.6422998276384e-06,0.655147857044117,0.382312905144154,2.94639175249294,3.34718197058152
"LOXL2",322.422581647215,6.19790321456279,0.663822769605967,9.3366836727245,9.93986926142022e-21,2.79329319626662e-19,53.8040177597481,18.1120738812043,0.368298969061618,0.246116321366288
"LOXL3",97.2772782647934,3.40102810824499,0.620028316023147,5.48527868865593,4.128180834492e-08,2.87279713592724e-07,10.6461526769669,9.27108794974573,0.286454753714592,0.935242021191895
"LPAR2",408.2749299112,2.11729556524553,0.283265423534877,7.47459940159211,7.74393926276976e-14,1.13593582227681e-12,41.6428356633667,32.8789098423972,5.23802978220968,5.70989865569789
"LPCAT4",692.924580685428,3.75895723572431,0.286529873056351,13.118901689476,2.56627165729876e-39,2.48413066752487e-37,78.9453167738161,65.9011870242235,2.90546964481943,3.93786114186061
"LPIN2",872.4254425948,-1.63480448276387,0.30708960995043,-5.32354215119086,1.01765857869278e-07,6.65829409173385e-07,20.7190509790202,26.8574815863768,55.6949885436513,38.6894857187805
"LPIN3",483.952626054852,1.02220096248263,0.31307883766442,3.26499539256082,0.00109465857133862,0.00311455306324977,43.3625987881075,29.5814610355289,12.6449312711156,10.1892157045643
"LPP",483.770511809244,1.86750030572362,0.339182431759127,5.50588748372983,3.67313083626117e-08,2.58741669764517e-07,48.9313555729825,36.3675151018376,5.85186139731238,9.05708062627941
"LRBA",461.96544573446,1.41965234416869,0.249593374658949,5.6878606898462,1.28640693746064e-08,9.71299613475703e-08,37.2615343693842,38.1357122881294,9.45300687258153,8.51562471927357
"LRG1",1407.0309921076,-2.4851971718843,0.339236765488058,-7.32584856570264,2.37391741086774e-13,3.29362377885173e-12,28.5398785224843,19.4023799360658,106.070103089746,64.7285925193338
"LRIF1",1515.26542006842,-2.1241315392452,0.249598986869677,-8.51017692773839,1.73668148032433e-17,3.71953334523832e-16,34.2724222716204,29.1991481303848,100.463774338475,75.85305024509
"LRIG2",811.590591335252,-1.25729227622398,0.297999101812352,-4.21911431469916,2.45263900618819e-05,0.000100349705984256,31.4470971381176,22.365304950933,47.0604238245401,34.8008478411931
"LRP1",2361.56515664747,2.08541829800993,0.249798124088668,8.34841456723549,6.91853617544876e-17,1.40666274682396e-15,222.463644207543,206.257812325271,26.8858247414981,37.5573506404956
