"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","AN_naive_TSC","H9_naive_TSC","AN_naive","H9_naive","AN_naive_TSC","H9_naive_TSC"
"ABLIM2",161.709865252069,3.65220972359561,0.58384366386137,6.25545835239689,3.9635010606561e-10,4.59497916197417e-09,18.9173943721489,9.07993149717366,1.28880290186861,1.08528162762251,18.9173943721489,9.07993149717366
"ABLIM3",162.317070462661,5.17715294635543,0.551663671141829,9.38461823240925,6.31447769196504e-21,2.95039186461845e-19,15.5188148637325,13.8110536983326,0.322200725467153,0.542640813811255,15.5188148637325,13.8110536983326
"ABTB1",269.584541758034,1.24850445158942,0.367591209955007,3.3964480590878,0.000682665122046943,0.00220578657100625,19.0811813364099,16.1527202423405,9.12902055490268,6.75834468110381,19.0811813364099,16.1527202423405
"AC002091.2",18.1211659630602,-4.2137594319306,1.36204275040234,-3.09370570834571,0.00197673461515609,0.00569493105962104,0.122840223195772,0.0477891131430192,1.02030229731265,2.41721817061377,0.122840223195772,0.0477891131430192
"AC002367.1",21.4530493510552,-5.4596484545473,1.45268770770487,-3.75830842760631,0.000171065938021081,0.000641212274149493,0.0409467410652573,0.0477891131430192,2.68500604555961,1.47992949221251,0.0409467410652573,0.0477891131430192
"AC002381.1",63.8830998782377,-6.51797642718988,1.2186649516542,-5.34845645502682,8.87075123378535e-08,6.93249433723955e-07,0.122840223195772,0,8.69941958761314,3.84781667975253,0.122840223195772,0
"AC002463.1",26.1530762189935,-8.22007090965461,1.85124369902074,-4.44029649581134,8.9835021232948e-06,4.59272610209159e-05,0,0,1.71840386915815,3.50249979823628,0,0
"AC003973.3",601.65706937971,-2.85327894516652,0.312249071799068,-9.13783003013248,6.37179803549183e-20,2.64104177175399e-18,7.41136013281157,6.16479559544948,59.231233365045,45.8778142585879,7.41136013281157,6.16479559544948
"AC004223.1",124.295036509145,-9.01544099069965,1.59442977907003,-5.65433555559782,1.56450301659767e-08,1.4082353772866e-07,0,0.0477891131430192,17.9358403843382,6.65968271495631,0,0.0477891131430192
"AC004224.1",46.4630467119406,-5.9806383378057,1.22782275401351,-4.87092971543014,1.11074349328608e-06,6.95635821404471e-06,0.0409467410652573,0.0955782262860385,6.55141475116545,2.51588013676127,0.0409467410652573,0.0955782262860385
