"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","AN_naive_TSC","H9_naive_TSC","AN_EVT","H9_EVT"
"MIER3",442.218534940519,1.18307490755136,0.362888033727352,3.26016511318816,0.00111347372622421,0.00792486127905785,25.1822457551332,31.9231275795369,10.7966320677453,11.505389995568
"MIMT1",31.1336361861144,5.92771254418949,1.34299874396315,4.4137885987123,1.01577152130443e-05,0.000128320063369305,2.70248491030698,3.01071412801021,0,0.0798985416358891
"MINDY2",1190.54709163974,-1.17984510889917,0.367124898963869,-3.2137430945954,0.00131016840458395,0.009121546090243,33.8629548609678,34.1214267841157,48.8419069731333,89.5263159030137
"MIR100HG",43.2289709730259,-3.05756579637364,0.828311588168171,-3.69132321707042,0.000223090428004373,0.00198645678870176,0.245680446391544,0.62125847085925,2.47714934887662,3.95497781097651
"MIR17HG",341.534942697236,1.57078910506115,0.444537991739227,3.53353174363239,0.000410046845806625,0.00338118530014855,25.1003522730027,22.5564614035051,8.78686938846801,5.19340520633279
"MIR181A2HG",90.9236367846854,-4.07532248931696,0.662848548705504,-6.14819553769224,7.83693844468046e-10,2.1949972061343e-08,0.286627187456801,0.669047584002269,5.84233336999203,8.4292961425863
"MIR205HG",1963.90863744781,3.14357868888318,0.54039521364036,5.81718455222157,5.98470560140549e-09,1.43164426919832e-07,184.383175016854,145.278903954779,24.3041068191668,7.63031072622741
"MIR22HG",1615.52035962357,1.76966475383503,0.343907454971055,5.14575862853561,2.66441834689084e-07,4.83051845160642e-06,95.2011729767232,136.868020041607,28.0899388429217,32.4787571749889
"MIR4435-2HG",280.847644685276,2.00448961391868,0.426718028827897,4.6974570524348,2.63420550675183e-06,3.88784390303439e-05,18.1803530329742,23.6078218926515,5.14125336559298,4.0348763526124
"MIR621",196.195831933667,-8.10089991400413,0.957131075150692,-8.46373096049433,2.58956823142589e-17,1.89845067720272e-15,0.0409467410652573,0.0955782262860385,12.1053147426235,20.5738744712414
"MLF1",542.105655289409,2.21259301716208,0.336587054535667,6.57361294008893,4.91087914718313e-11,1.62276735563076e-09,43.8539596808906,39.3782292298479,7.10427737791031,8.82878885076574
"MMP11",219.190367418959,-3.49399216098511,0.80019561228658,-4.36642254385891,1.26298045858019e-05,0.00015587990646101,1.51502941941452,1.81598629943473,3.45866135503528,31.3202283212685
