"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","EVT_wt_1","EVT_wt_2"
"PUS3",493.406525187248,0.601839762918961,0.107520381315191,5.59744818198416,2.17529839465618e-08,2.67545824452238e-07,23.9478814273869,22.3948196727325
"SRPRA",5651.04308388177,0.56110918997198,0.0626308866145946,8.95898525953849,3.27679940061871e-19,1.48724767408553e-17,277.507163021988,265.743542634653
"DCPS",475.847309287712,-0.562179732375701,0.135312913918823,-4.15466429695664,3.25765470705792e-05,0.000206165189911459,41.1327037479654,40.7972480946157
"APLP2",2935.59762129267,0.641136851456069,0.123443296781915,5.19377615609823,2.06070892552148e-07,2.10761428801438e-06,140.084019368071,129.565572312717
"THYN1",320.600488017557,-1.02148149051573,0.179251931867713,-5.69858009267971,1.20809374942964e-08,1.55540627911285e-07,32.6511624090992,34.8710423316363
"GLB1L3",176.959854585647,-0.823665296046404,0.15681744015522,-5.25238325042884,1.5014363578595e-07,1.57260000807662e-06,17.5728666955593,16.6557572496367
"FOXM1",71.3979056293934,-0.762741803445248,0.272604497439802,-2.79797952934977,0.00514233716220587,0.0171878762575093,6.87392892823141,6.61239800921905
"TULP3",1095.90318860754,0.586227362681213,0.111886696642884,5.2394733267737,1.61035518950688e-07,1.68275875616688e-06,52.3859906224088,51.526799581273
"AC125807.1",228.805285519463,0.611262418368872,0.164841984390744,3.708171923725,0.000208760906449619,0.0010604864863629,10.1445886602125,11.2286003930135
"TSPAN9",769.829002049809,-0.628642909297668,0.121805931809768,-5.16102048527047,2.45607299435256e-07,2.47804911375874e-06,65.5240644610446,71.1768502690466
"AC005912.1",294.273365892931,0.57802942068184,0.12250612116205,4.71837174501041,2.37739773791234e-06,1.97822972265792e-05,14.3576418742898,13.6614638114997
"CD9",6673.92258602235,0.793337358631306,0.0782008074243528,10.1448742635904,3.49227850855191e-24,2.36562383393365e-22,284.103917396661,277.533573047317
"TAPBPL",7.83055428114377,-1.87722824188081,0.70719554544874,-2.65446841960753,0.00794334745037434,0.0247460881976072,1.05326330351933,1.18524115259587
"NCAPD2",698.203323265709,-0.909822840162355,0.119293289210088,-7.62677302459206,2.40702839591323e-14,6.62178424018577e-13,68.6838543716026,71.6758991754028
"IFFO1",19.6682968905242,-1.23322008899884,0.398571731396579,-3.09409823089483,0.00197412112124558,0.00757289491018509,2.38370116059638,2.12095785201366
"NOP2",1541.73445018092,0.573306073506957,0.0826012522813588,6.94064626955224,3.90310212970938e-12,8.41821067335719e-11,72.6197330321222,74.6701926135397
"CDCA3",424.366570061812,-0.835741036864732,0.180434799028959,-4.63181737315871,3.62469824091657e-06,2.88435255534565e-05,40.57835464085,41.9824892472115
"ENO2",298.852103012503,3.77241361049429,0.681148258033952,5.53831499383538,3.05395622160703e-08,3.67893921959453e-07,2.27283133917329,1.43476560577395
"C12orf57",421.245141769985,0.710729444970986,0.122448088725073,5.80433269617426,6.46228494439555e-09,8.68510479067318e-08,17.7946063384055,19.46290734789
"CLSTN3",61.3809261346618,-2.72263343099333,0.323110948222741,-8.42631129019018,3.5673238593507e-17,1.32838468574717e-15,11.1424170530203,10.8543137132464
"DPPA3",433.147470910274,1.62875557914613,0.350125069923799,4.65192503781752,3.28850630151679e-06,2.64651133996695e-05,11.1978519637318,10.7919325999519
"SLC2A14",69.5013772629917,0.867519021599079,0.282682977916085,3.06887605328894,0.00214865716326228,0.00813738297902695,3.0489200891349,2.55762564507529
"SLC2A3",5562.381366733,0.630740770748753,0.142692889342933,4.42026770677338,9.85787023945296e-06,7.05704146722389e-05,259.379947219313,254.702085581523
"FOXJ2",111.680810642449,0.637175538534399,0.230564363163467,2.76354736608905,0.00571767930706668,0.0188123790723112,5.04457687475047,5.24001351673963
"AC006511.3",304.649524736667,0.564545737956901,0.132635015600065,4.25638535497427,2.07758493330785e-05,0.000137205813832641,14.1913371421552,15.0338483039792
"MFAP5",8252.30077221106,-0.997183560026142,0.0985661292748276,-10.1168988511838,4.6491302466922e-24,3.10248889729756e-22,854.362843886311,865.787471414635
"CLEC9A",20.6232099741646,1.44005825676851,0.460087806273434,3.12996397020934,0.0017482774469146,0.00682897130814513,0.60978401782698,0.561430019650675
"CLEC1A",2216.13174550625,0.512973141591708,0.10383881649987,4.94009041014397,7.80863560852362e-07,7.1411402987041e-06,109.982862851703,108.979804925525
"OLR1",724.401417700559,1.12764792980928,0.426444696290684,2.64430051450474,0.00818599428464471,0.0253963643169184,23.8924465166753,26.1376864704036
"STYK1",255.15211270217,0.59869355686644,0.181004918809337,3.30760932246862,0.000940959771593787,0.00398621550002648,13.1380738386358,10.8543137132464
"GPRC5D",30.9313039910702,1.26723669713557,0.416371824001792,3.04352173726847,0.00233826547640418,0.0087457876309457,1.49674258921168,0.436667793061636
"PLBD1",805.55522688055,-1.12120986693769,0.172444562215832,-6.50185690131751,7.93345507567417e-11,1.4089983454557e-09,88.6958571384699,88.0197508585669
"ARHGDIB",13309.3354480778,-1.38960759717233,0.0807024677258962,-17.2188984591165,1.91600132561389e-66,1.35935251943554e-63,1663.93427991769,1572.93977172131
"PDE6H",718.398939690538,-3.00203743171214,0.20017563115086,-14.9970174413972,7.67933638985536e-51,2.46470129845834e-48,136.702489814667,135.803683642169
"EPS8",164.066126040204,1.17022372849605,0.257150870585956,4.55072823914429,5.34605607358027e-06,4.10714514029948e-05,4.8228372319043,6.23811132945194
"AEBP2",2492.69801952998,0.516863595694774,0.174868197128875,2.95573239834945,0.00311927600076298,0.0111888878366911,115.63722374428,130.127002332367
"RECQL",476.287568333528,-0.590267641424714,0.133323401663179,-4.4273370920728,9.54035761782289e-06,6.85987555993063e-05,41.5207481229462,41.4834403408554
"PPFIBP1",962.204758851592,0.869644206350501,0.124742213614408,6.9715309769848,3.1351026725404e-12,6.83837929220786e-11,38.8598724087921,38.551528016013
"FAR2",908.427113061574,0.566337223002855,0.181389604498931,3.12221433288474,0.00179496208827454,0.0069890493789546,41.3544433908116,45.7253560448827
"IPO8",192.807548491481,-0.748814692853273,0.175916990635927,-4.25663655424279,2.07525303502941e-05,0.000137129465255865,18.7369998205018,17.4043306091709
"CAPRIN2",33.2586748732523,-1.09936760656334,0.343925405599403,-3.1965292143723,0.00139091740425975,0.00561458234648212,4.15761830336577,3.05667455143145
"LINC02387",14.3995575621149,-2.83930058047321,0.630480626572217,-4.50339068451613,6.6877775422904e-06,4.99729718791988e-05,2.60544080344255,2.68238787166433
"KIAA1551",79.4380347186141,1.5415869462752,0.298059010882965,5.1720863654094,2.31494535115824e-07,2.33748789015829e-06,1.7739171427694,2.49524453178078
"FGD4",327.329815802232,0.581509240213697,0.140893774481837,4.12728839405648,3.67065937840074e-05,0.000228758614983088,15.1337306242514,15.969565003397
"KIF21A",2308.24334228675,1.36854533389397,0.11167127339328,12.2551242795833,1.57707384724968e-34,2.21447452717976e-32,69.6816827644104,67.9954134910261
"PPHLN1",729.455144248697,-0.578666522680044,0.0879857505011758,-6.57682089865575,4.80613100891814e-11,8.77867831981253e-10,63.7501473182752,62.6306377476975
"ADAMTS20",2558.99597020515,1.00584133878617,0.172096872732052,5.84462298947306,5.07716812325205e-09,6.94824632501905e-08,89.0284666027391,101.057403537121
"SLC38A2",10480.843195578,0.694065275259586,0.111487915956388,6.2254753737714,4.80098063959463e-10,7.60484359832382e-09,447.415164352869,486.759827037135
"SLC48A1",214.163716977414,1.03797874072286,0.18530668701495,5.60141005941741,2.12615099119082e-08,2.62218804769005e-07,8.7587158924239,6.79954134910261
"VDR",15.5818887980151,1.95059750833297,0.581744428396769,3.35301450794918,0.000799365163770536,0.00345366743834193,0.332609464269262,0.311905566472597
"CACNB3",102.407385579212,-1.11408423371826,0.200547343245255,-5.55521811304084,2.7726532438627e-08,3.36715006551975e-07,11.9185058029819,10.4176459201847
"WNT10B",338.336232304221,1.6093225940287,0.203749274043995,7.89854394122263,2.82180303132256e-15,8.567095689691e-14,9.1467602674047,8.23430695487656
"WNT1",11.1284245366549,2.95796148989633,0.968586371260585,3.0538954270507,0.00225890806209287,0.00848114796831253,0,0.249524453178078
"LMBR1L",934.652485098289,-0.817201294268413,0.112933966292444,-7.2360984130519,4.61776299233913e-13,1.09206044099529e-11,90.8578186562201,89.5792786909299
"TUBA1B",4999.12808171331,-0.787467810908584,0.129792071353754,-6.06714880728197,1.30200912997969e-09,1.94364153622661e-08,476.573927387141,475.905513323888
"TUBA1A",167.074999509546,-0.914005414032222,0.166336512966773,-5.49491748822943,3.90893135402748e-08,4.60597855352189e-07,15.6326448206553,18.0281417421161
"TUBA1C",5761.17904679207,-1.48882753304643,0.0997193720270445,-14.9301735739235,2.09719493387202e-50,6.42504266104429e-48,731.629951570953,721.06328857135
"AC010173.1",10.1552180963764,-1.96128662430254,0.778561264394382,-2.51911662446778,0.0117649681511167,0.0345093973712518,1.44130767850014,1.55952783236298
"TROAP",156.838080174561,-0.947423552737868,0.202835776173984,-4.67088977402689,2.99897842561456e-06,2.43531501067977e-05,15.9652542849246,16.0319461166915
"SPATS2",150.299805896059,-0.99128903690001,0.218258121004221,-4.54181971483589,5.57707261413705e-06,4.25826761079853e-05,16.0206891956361,15.2833727571572
"PRPF40B",68.6037991756443,-0.98542812258323,0.246564940378415,-3.9966270998255,6.42513914560379e-05,0.000376732821586512,7.04023366036605,7.23620914216425
"FMNL3",24.5618820539493,-1.25322133261454,0.387415072484539,-3.23482853823286,0.00121715799756647,0.00500087218108506,3.32609464269262,2.30810119189722
"NCKAP5L",42.0133938551821,-2.01913118973697,0.302246043739614,-6.6804222306925,2.38254791306053e-11,4.523485333529e-10,7.26197330321222,5.36477574332867
