"","EVT_a6_1","EVT_a6_2","EVT_b5_1","EVT_b5_2","EVT_d4_1","EVT_d4_2","EVT_wt_1","EVT_wt_2"
"WDR45BP1",0.058420493301477,0.0629483416951812,0.17015777482636,0.227822296785929,0.169139228478175,0.115164757004666,0.110869821423087,0.124762226589039
"AC116407.2",0,0,0.113438516550906,0.151881531190619,0.169139228478175,0,0.554349107115437,0.187143339883558
"RHOT1",22.7255718942746,19.3880892421158,21.4398796281213,20.7318290075195,21.4806820167282,27.1788826531012,21.8413548203482,22.8314874657941
"AC116407.4",0.116840986602954,0.0629483416951812,0,0.379703827976548,0.33827845695635,0.115164757004666,0.0554349107115437,0.124762226589039
"UBL5P2",0.759466412919201,0.314741708475906,1.07766590723361,0.607526124762476,0.789316399564816,0.460659028018664,1.05326330351933,1.31000337918491
"RHBDL3",0,0.0629483416951812,0.0567192582754532,0.0759407655953095,0.169139228478175,0.403076649516331,0.221739642846175,0
"C17orf75",31.6054868760991,33.0478793899701,31.3657498263256,30.8319508316957,32.3619723821575,31.9582200687948,33.2609464269262,35.3700912379925
"ZNF207",200.323871530765,203.13429865035,212.356902983297,217.949997258538,203.643631087723,199.638106267589,223.790734542502,232.931077041735
"AC005899.6",0.467363946411816,0.50358673356145,0.113438516550906,0.0759407655953095,0.0563797428260583,0.230329514009332,0.110869821423087,0.0623811132945194
"AC005899.7",0.292102466507385,0.251793366780725,0.0567192582754532,0.151881531190619,0.169139228478175,0.115164757004666,0.332609464269262,0.124762226589039
"PSMD11",353.911348420348,367.681263841554,428.00352294657,433.393949252432,428.711564449347,397.088082152088,371.6910763209,380.711934436452
"CDK5R1",0.876307399522155,0.314741708475906,0.283596291377266,0.455644593571857,0.620177171086641,0.403076649516331,1.05326330351933,0.311905566472597
"MYO1D",3.21312713158124,3.08446874306388,3.00612068859902,4.32862363893264,4.79227814021495,3.68527222414931,3.27065973198108,2.99429343813693
"AC079336.2",0,0,0,0,0,0,0,0
"AC079336.4",0.058420493301477,0,0,0,0,0,0,0
"TMEM98",2.33681973205908,2.07729527594098,1.53141997343724,2.58198603024052,2.48070868434656,1.61230659806532,0.443479285692349,0.249524453178078
"AC123769.1",0.525784439713293,0.251793366780725,0.567192582754532,0.379703827976548,0.451037942608466,0.230329514009332,0.831523660673155,0.748573359534233
"CCT6B",0.467363946411816,0.0629483416951812,0.17015777482636,0.0759407655953095,0.169139228478175,0.287911892511665,0.332609464269262,0.623811132945194
"ZNF830",12.0346216201043,14.6669636149772,13.385744953007,19.0611321644227,13.531138278254,11.5164757004666,14.1913371421552,17.7162361756435
"LIG3",55.4410481431017,47.7148430049474,50.933893931357,50.9562537144527,48.8248572873665,45.3173318813361,65.967543746737,60.1977743292112
"RFFL",5.14100341052998,7.0502142698603,7.9974154168389,8.27754344988874,8.00592348130028,7.08263255578696,5.10001178546202,5.92620576297934
"RAD51D",9.87306336794962,8.3721294454591,12.8752716285279,12.3024040264401,10.655771394125,10.7103224014339,11.3641566958665,11.9771737525477
"FNDC8",0.350522959808862,0.0629483416951812,0,0.0759407655953095,0,0.057582378502333,0,0.124762226589039
"NLE1",21.9661054813554,25.4311300448532,20.021898171235,19.2130136956133,17.9851379615126,17.4474606862069,23.2272275881368,25.7633997906365
"UNC45B",0.467363946411816,0.818328442037356,0,0,0,0.172747135506999,2.10652660703866,1.80905228554106
"SLFN5",0.701045919617724,0.818328442037356,0.850788874131798,0.379703827976548,0.676556913912699,0.460659028018664,7.76088749961611,4.30429681732184
"SLFN11",0,0,0,0.0759407655953095,0.0563797428260583,0,0.110869821423087,0
"AC060766.3",0.292102466507385,0.125896683390362,0.17015777482636,0.0759407655953095,0.281898714130291,0.115164757004666,0.277174553557718,0.499048906356155
"AC060766.1",0.116840986602954,0.0629483416951812,0.0567192582754532,0,0.0563797428260583,0.115164757004666,0.554349107115437,0.124762226589039
"SLFN12",0.759466412919201,0.881276783732537,0.623911841029985,1.13911148392964,0.507417685434525,1.09406519154433,5.10001178546202,4.30429681732184
"AC015911.1",2.8041836784709,2.32908864272171,2.49564736411994,2.65792679583583,2.36794919869445,2.01538324758166,1.82935205348094,2.05857673871914
"LINC02001",9.17201744833189,8.62392281223983,11.2304131385397,13.8971601039416,9.97921448021232,10.7103224014339,8.20436678530846,7.61049582193137
"PEX12",3.15470663827976,3.0215204013687,3.06283994687447,3.03763062381238,4.22848071195437,2.53362465410265,3.15978991055799,5.11525129015059
"AP2B1",52.4616029847264,55.3945406917595,53.940014619956,62.4992500849397,52.9405785136687,54.991171469728,89.8599902634123,86.0859363464368
"TAF15",14.2546003655604,12.3378749722555,12.137921270947,10.9354702457246,12.7418218786892,10.5375752659269,13.1935087493474,13.3495582450271
"AC015849.3",1.63577381244136,1.07012180881808,0.623911841029985,0.987229952739024,1.01483537086905,1.03648281304199,2.27283133917329,1.06047892600683
"AC015849.4",0.233681973205908,0.0629483416951812,0.113438516550906,0.0759407655953095,0.281898714130291,0.115164757004666,0.221739642846175,0.0623811132945194
"HEATR9",0.116840986602954,0,0,0,0,0,0.110869821423087,0.0623811132945194
"AC015849.6",0.759466412919201,0.881276783732537,0.510473324479079,0.531585359167167,1.18397459934722,1.09406519154433,1.10869821423087,1.18524115259587
"AC015849.1",0.058420493301477,0,0.0567192582754532,0.151881531190619,0.33827845695635,0,0.221739642846175,0.249524453178078
"CCL5",2.74576318516942,4.28048723527232,4.4808214037608,3.34139368619362,4.4539996832586,5.70065547173097,6.48588455325061,4.4914401572054
"AC015849.5",51.2931931186968,54.4503155663318,68.2332677053702,79.4340408126938,63.7654891362719,60.0584207779333,91.356732852624,87.0840341591491
"TBC1D3B",0.116840986602954,0.188845025085544,0.226877033101813,0.0759407655953095,0.112759485652117,0.115164757004666,0.0554349107115437,0
"TBC1D3I",0.058420493301477,0.125896683390362,0,0,0,0,0,0
"AC233699.1",0.701045919617724,0.314741708475906,0.397034807928173,0.607526124762476,0.507417685434525,0.57582378502333,0.60978401782698,0.748573359534233
"ZNHIT3",49.1900553598437,50.6734150646209,54.4504879444351,52.7788320887401,52.1512621141039,52.399964437123,49.0044610690046,51.2148940148004
"MYO19",52.8705464378367,57.5977326510908,56.0386271761478,55.9683442437431,50.3471103436701,54.2426005491977,50.2794640153701,50.4663206552662
"PIGW",7.30256166268463,8.56097447054465,9.30195835717433,8.96101034024652,9.07713859499538,9.78900434539661,9.09132535669316,9.41954810747243
"GGNBP2",65.2556910177498,57.2200426009197,59.441782672675,65.2331176463709,65.9642991064882,71.4021493428929,70.2360318715258,69.5549413233891
"AC243732.1",0,0.0629483416951812,0.226877033101813,0.151881531190619,0.112759485652117,0.057582378502333,0,0.0623811132945194
"DHRS11",2.62892219856647,1.44781185898917,2.38220884756904,1.67069684309681,1.24035434217328,1.38197708405599,2.21739642846175,2.30810119189722
"MRM1",2.16155825215465,1.38486351729399,1.19110442378452,1.13911148392964,1.12759485652117,1.15164757004666,2.1619615177502,1.74667117224654
"AATF",69.9877509751695,72.0129028992873,80.8816623007963,75.1054171737611,81.8070068406106,85.0491730479459,83.9284548172771,80.0973494701629
"ACACA",37.0970132464379,32.4183959730183,36.0167290049128,42.9065325613499,39.0147820356323,40.9410711151588,32.9283369626569,33.1867522726843
"HMGB1P24",2.10313775885317,2.20319195933134,2.72252439722175,2.20228220226398,1.86053151325992,1.84263611207466,2.99348517842336,3.24381789131501
"TADA2A",17.9350914435534,19.3251409004206,21.3831603698459,18.3776652740649,17.364960790426,17.9081197142256,25.5554938380216,25.0148264311023
"AC243654.2",0.58420493301477,0.188845025085544,0.453754066203626,0.379703827976548,0.33827845695635,0.057582378502333,0.554349107115437,0.124762226589039
"DUSP14",119.528329294822,119.853642587625,144.010196761376,147.021322192519,141.062116550798,136.700566564539,82.4317122280654,83.4659295880669
"SYNRG",15.4814307248914,12.9044100475121,13.6126219861088,12.758048620012,16.2373659339048,13.7621884620576,14.7456862492706,16.5309950230476
"DDX52",44.8669388555344,44.6303742618835,46.3396340110453,48.1464453874262,55.5340466836674,52.4575468156254,41.2990084801,43.7915415327526
"TBC1D3L",2.51208121196351,2.45498532611207,3.63003252962901,2.3541637334546,2.19880997021627,3.39736033163765,2.10652660703866,2.12095785201366
"AC233968.1",0.408943453110339,0.50358673356145,0.226877033101813,0.379703827976548,0.563797428260583,0.863735677534995,0.332609464269262,0.436667793061636
"AC244154.1",4.84890094402259,4.3434355769675,4.02706733755718,3.79703827976548,3.94658199782408,4.08834887366564,3.27065973198108,3.43096123119857
"MRPL45",106.266877315387,105.249627314343,110.602553637134,108.291531738911,111.519131309943,106.469817850814,88.0306382099313,92.6359532423613
"SOCS7",19.3371832827889,18.4438641166881,18.0367241315941,18.5295468052555,18.379796161295,17.9081197142256,14.8011211599822,15.9071838901024
"ARHGAP23",0.876307399522155,1.44781185898917,1.36126219861088,2.20228220226398,1.07121511369511,1.61230659806532,4.04674848194269,4.61620238379443
"AC244153.1",0.876307399522155,1.13307015051326,0.0567192582754532,0.0759407655953095,0.958455628042991,0.748570920530329,2.10652660703866,2.30810119189722
"SRCIN1",0.467363946411816,0.125896683390362,0.397034807928173,0.227822296785929,0.394658199782408,0.690988542027996,0.388044374980806,0.187143339883558
"EPOP",0.99314838612511,1.63665688407471,1.30454294033542,2.88574909262176,0.620177171086641,1.26681232705133,2.55000589273101,2.12095785201366
"AC006449.6",2.10313775885317,2.89562371797834,4.4808214037608,3.11357138940769,4.0593414834762,3.45494271013998,2.10652660703866,2.49524453178078
"MLLT6",34.3512500612685,34.2438978821786,36.413763812841,36.1478044233673,37.0978707795464,35.7010746714465,40.9109641051192,41.3586781142664
"CISD3",12.4435650732146,13.0932550725977,10.6065012975098,9.34071416822307,9.81007525173414,11.0558166724479,17.6283016062709,17.778617288938
"PCGF2",3.79733206459601,3.52510713493015,3.63003252962901,4.10080134214672,2.87536688412897,3.45494271013998,4.43479285692349,3.93001013755472
