"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","EVT_wt_1","EVT_wt_2"
"CENPX",2072.76999602121,-1.17074678685125,0.125137323741309,-9.35569622114889,8.30509212815977e-21,4.2567544443952e-19,232.549450434926,231.0596436429
"LRRC45",11.4891290949613,-2.20074402900623,0.58377876344274,-3.76982543186,0.000163361771030718,0.000857188273061146,1.21956803565396,2.43286341848626
"RAC3",19.0571038726882,-1.57080941911661,0.441765178404719,-3.55575653289161,0.000376892984744201,0.00180480193049799,2.27283133917329,2.68238787166433
"DCXR",778.347704081885,-0.826239546041199,0.137006157911018,-6.03067452324166,1.63276735412465e-09,2.40543212389075e-08,75.7795229426802,75.0444792933068
"RFNG",43.5912483256507,-0.0180574753158007,0.286428343479762,-0.0630436048905772,0.949731781676995,0.968483577956418,2.71631062486564,3.05667455143145
"GPS1",1464.1128553704,0.207548706176084,0.0925294762029415,2.24305502087653,0.0248932666778873,0.0644318807254072,87.1436796385466,83.9649784944231
"DUS1L",112.017316578139,-0.0180784583508457,0.20541351681957,-0.0880100717360548,0.929868671120003,0.957140154413265,7.20653839250068,7.48573359534233
"FASN",443.352594424986,-0.217188903300164,0.119282548890867,-1.82079361415116,0.0686382353848105,0.145630736532662,35.2011683018302,29.3815043617186
"CCDC57",94.2095013424746,0.359600090883605,0.253627777540845,1.41782613233558,0.156241532677477,0.276547297390967,5.2108816068851,4.92810795026703
"SLC16A3",1464.55661604317,-0.650722643711834,0.14604930061058,-4.45549989620899,8.36979363841499e-06,6.08220044451936e-05,138.809016421705,123.701747663032
"CSNK1D",733.61631181477,-0.26704068843133,0.0986641337536218,-2.70656294513433,0.00679836930485152,0.0217863150671007,53.9936030330435,55.5191908321223
"AC132872.4",27.4907091248897,1.61908806617607,0.421835208114283,3.83820040392984,0.00012393931323482,0.000673941888828308,0.776088749961611,0.623811132945194
"OGFOD3",154.018823832083,-0.549242878221009,0.194565954094081,-2.82291360160281,0.00475893943522366,0.0161074018731303,12.639159642232,13.7238449247943
"C17orf62",677.972785369018,-0.18373494368305,0.143499822421618,-1.2803844672589,0.200409954018649,0.334595761725462,51.8316415152933,45.3510693651156
