name	BT5_hTSC_1	BT5_hTSC_2	mean_RPKM_BT5_hTSC	bagel_BF	bagel_FDR	Class	NSC_vs_TSC_LFC	NSC_vs_TSC_padj	AN_naive_TSC_rep1	AN_naive_rep1	H9_naive_TSC_rep1	H9_naive_rep1	AN_naive_TSC_rep2	H9_naive_TSC_rep2	AN_naive_TSC_rep1.1	H9_naive_TSC_rep1.1	AN_naive_TSC_rep2.1	H9_naive_TSC_rep2.1
ADA2	0.26455196133689	0.197754509859677	0.231153235598284	2.465	0.047		7.14643832208663	1.14015303308381e-37	1.18930851019547	75.9098320220788	0.287131938130533	135.219932899701	0.975496372078536	0.317059523547105	1.18930851019547	0.287131938130533	0.975496372078536	0.317059523547105
ADAM9	29.7191188220369	31.3009739713439	30.5100463966904	4.53	0.02		-1.5467413153891	3.81896550649981e-13	196.810053118209	56.7710925037643	147.298684260963	70.5731497858557	188.74172909423	152.762298059505	196.810053118209	147.298684260963	188.74172909423	152.762298059505
ADAMTS7	0.0898471562026561	0.0316219329489526	0.0607345445758043	6.469	0.017		NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
ADAP2	1.80036428088465	1.23848354459005	1.51942391273735	2.849	0.032		-2.09524326631519	0.0017498644499132	17.634574461519	0.96768907676871	16.4143757964621	6.7659352838784	12.5805394192197	14.0110113262721	17.634574461519	16.4143757964621	12.5805394192197	14.0110113262721
ADCY4	0	0	0	5.502	0.017		NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
ADGRA2	0.066335676170611	0.0559213488567045	0.0611285125136577	2.393	0.048		-0.746712414094247	0.227493538164196	2.13255319069533	1.82785714500756	1.81850227482671	1.23465972333547	3.49833181710923	1.94765135893222	2.13255319069533	1.81850227482671	3.49833181710923	1.94765135893222
ADH1B	0	0	0	4.414	0.019		NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
ADH1C	0	0	0	3.602	0.026		NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
ADH5	43.5654878248011	44.275275107432	43.9203814661166	3.939	0.02		0.068935464472338	0.835531117515224	122.088670167307	125.745819475667	94.4185523219235	148.603644300658	153.304300543032	111.016127459136	122.088670167307	94.4185523219235	153.304300543032	111.016127459136
ADRM1	40.2206346172866	41.9334244300418	41.0770295236642	12.059	0		0.573169656619545	0.276399825890175	191.806755247732	230.901365817867	200.418092815112	203.916399906087	72.792212040619	78.9025271455795	191.806755247732	200.418092815112	72.792212040619	78.9025271455795
ADSL	5.37629329861021	5.09801261738302	5.23715295799661	6.501	0.017		-0.074050919917083	0.820954124105824	18.9469148865623	20.7515546462623	15.9358225662446	18.9149869614995	23.1596293853818	18.5857273088803	18.9469148865623	15.9358225662446	23.1596293853818	18.5857273088803
AFG3L2	1.95799056815795	1.84509013960903	1.90154035388349	5.956	0.015		1.27227530272011	0.000174559890972499	9.71952127297677	29.5682773457106	9.61891992737285	34.5210858644598	14.2792486188737	14.675326518466	9.71952127297677	9.61891992737285	14.2792486188737	14.675326518466
AFP	0.262667828087273	0.236550598567554	0.249609213327413	5.406	0.017		NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
AGAP4	0.0278956708618119	0.0378872235921311	0.0328914472269715	12.995	0		NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
AGAP5	0.0103702044487892	0	0.00518510222439458	3.804	0.02		NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
AGK	10.3540915872105	10.3391471149846	10.3466193510976	5.313	0.017		-0.216818497806428	0.400691689039185	41.4207446654285	39.5677311389872	43.9311865339715	46.6701375420809	46.9079203746041	51.1824659440326	41.4207446654285	43.9311865339715	46.9079203746041	51.1824659440326
AGO1	11.8269769541957	13.6979701292431	12.7624735417194	5.563	0.017		-0.351878229411649	0.178260847292943	228.429255234095	224.127542280486	196.350390358263	169.44470043056	261.533941134849	237.64366193483	228.429255234095	196.350390358263	261.533941134849	237.64366193483
AGO2	2.76351080648844	2.07825767004143	2.42088423826493	2.496	0.045		-1.29196892091189	1.64974313062803e-08	73.0399467813149	33.9766386954347	85.517462239877	40.8425436479375	84.683176438197	92.1737329169084	73.0399467813149	85.517462239877	84.683176438197	92.1737329169084
AHCTF1	1.52119804904102	1.1075486010679	1.31437332505446	3.434	0.028	TF,	-0.808102002074898	0.024948962480949	15.6660638239541	10.3757773231312	19.6685377619415	15.0134622357594	20.384510395848	25.2741734484692	15.6660638239541	19.6685377619415	20.384510395848	25.2741734484692
AHCYL1	16.0757791825006	15.7469128998438	15.9113460411722	5.519	0.017		-0.279294451002234	0.339931484427158	193.160106311057	130.853067380836	154.764114652357	193.298326285402	215.786525064959	159.813097940291	193.160106311057	154.764114652357	215.786525064959	159.813097940291
AIFM1	28.8197972285562	29.4897076106536	29.1547524196049	3.987	0.021		0.530709765786183	0.0403491856471464	91.9458510295946	165.958676665834	105.568842585993	163.37017459175	94.4717779649161	125.268707946206	91.9458510295946	105.568842585993	94.4717779649161	125.268707946206
AIMP2	50.8713679871697	51.2731630943904	51.07226554078	2.95	0.033		-0.744207208154181	0.00138965413309767	71.1124467820326	49.7822269493236	66.6624649693054	36.0520639213958	60.6994208074385	66.4617153644931	71.1124467820326	66.6624649693054	60.6994208074385	66.4617153644931
AK6	50.4942738143096	48.4944044863578	49.4943391503337	7.369	0.005		0.011895929190941	0.968278191295865	82.7184574160091	105.908193401909	78.0998871715049	83.3642245196112	93.832659652175	90.241179630526	82.7184574160091	78.0998871715049	93.832659652175	90.241179630526
AKAP11	1.17554944110183	0.697526483746189	0.936537962424008	5.86	0.015		-0.198811358388685	0.669166745526476	7.79202127369446	9.03176471650796	6.36475796189348	8.39568611868122	11.1509326670357	11.1272794692484	7.79202127369446	6.36475796189348	11.1509326670357	11.1272794692484
AKAP2	0.622479370259946	0.511805901050979	0.567142635655463	2.879	0.033		NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
AKIRIN2	3.19961530659314	2.19163224747101	2.69562377703207	2.956	0.033		0.724604980571163	0.0219572637432133	6.02856382754256	13.2250840491724	8.90109008204652	14.1738936238912	7.60214414102583	7.83589965337845	6.02856382754256	8.90109008204652	7.60214414102583	7.83589965337845
ALDH1L2	1.67838351842322	1.17145063430626	1.42491707636474	4.999	0.019		-0.532659380738301	0.273249261350823	33.7927659448644	17.2033613647771	16.4622311194839	21.2855336303036	36.8838542063488	16.0190549754037	33.7927659448644	16.4622311194839	36.8838542063488	16.0190549754037
ALDH5A1	2.66903254310716	2.55923468645936	2.61413361478326	6.683	0.018		-3.64194682240344	5.41903912595394e-29	24.1142553101702	1.50529411941799	19.2856951777675	2.56809222453779	26.271126434253	23.8851507738819	24.1142553101702	19.2856951777675	26.271126434253	23.8851507738819
ALDOA	574.824001409631	545.940763092016	560.382382250824	7.69	0.006		0.619942015281088	7.76464338148637e-06	3802.62941347774	5685.65717055455	3629.491263939	6420.92197078953	3630.56203223477	3431.14267346402	3802.62941347774	3629.491263939	3630.56203223477	3431.14267346402
ALG11	3.85369148558436	3.43842336934457	3.64605742746446	5.054	0.016		-0.140637030892355	0.648573462259733	24.9754787141049	21.9880462443557	22.9705550504426	29.8787653047185	28.8444185881843	27.8861399995954	24.9754787141049	22.9705550504426	28.8444185881843	27.8861399995954
ALG13	8.79184805972208	8.36117666860476	8.57651236416342	12.22	0		-0.492758822180801	0.0928246228378959	41.0926595591676	34.9443277722034	56.3257151966062	42.2747489270066	44.7382818918777	56.5875759168833	41.0926595591676	56.3257151966062	44.7382818918777	56.5875759168833
ALG1	3.13260441950144	3.23697401574464	3.18478921762304	9.617	0		0.44515105770338	0.27480897287272	15.5430319091063	17.9560084244861	11.8202647863736	14.025734457091	8.74582954277308	7.68491892787983	15.5430319091063	11.8202647863736	8.74582954277308	7.68491892787983
ALG1L2	0.247822981231988	0.464113975610917	0.355968478421452	5.425	0.017		NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
ALG2	3.37326272419048	2.79868662195413	3.08597467307231	4.218	0.019		0.147945902551565	0.624746709462921	12.3852127613459	15.4830252282994	12.6338052777434	17.680327238164	15.153831573151	14.5545419380671	12.3852127613459	12.6338052777434	15.153831573151	14.5545419380671
ALG5	28.2984161991951	33.1064519868643	30.7024340930297	2.54	0.045		0.0325021943476636	0.931149086199957	40.9286170060372	50.8036765303573	51.3487616023436	63.6096689462436	50.3221576768789	61.6152340759874	40.9286170060372	51.3487616023436	50.3221576768789	61.6152340759874
ALG6	11.2114899034357	9.76230741503011	10.4868986592329	3.059	0.033		-0.0634315161389357	0.833764859461237	37.2786701988856	45.1588235825398	38.8106669706437	42.7192264274074	43.5441397812298	48.4346167399577	37.2786701988856	38.8106669706437	43.5441397812298	48.4346167399577
ALG8	35.0013648785982	34.715540568288	34.8584527234431	3.939	0.02		-0.649573780757478	0.0117148596478299	84.9740425215522	64.3513236051192	88.4844922672258	70.0298995075881	96.321857291272	115.787118384893	84.9740425215522	88.4844922672258	96.321857291272	115.787118384893
ALKBH5	7.17961112298011	6.72542163188946	6.95251637743478	10.259	0		-0.402617078765928	0.060133097052127	34.9000531784947	28.8693907902665	35.1736624209903	31.6072889173881	37.2370511686531	39.2247924845418	34.9000531784947	35.1736624209903	37.2370511686531	39.2247924845418
ALKBH8	3.74934902945464	4.02263290304157	3.88599096624811	2.541	0.045	RBP,	-0.190047127066677	0.538026768552492	12.3031914847807	9.56936975915724	9.95390718852514	11.4082558436198	12.4796260014185	9.36080498091453	12.3031914847807	9.95390718852514	12.4796260014185	9.36080498091453
ALYREF	4.49453489320027	5.98490902108285	5.23972195714156	4.614	0.02		0.699495992679042	0.0472633849480942	9.76053191125938	15.5905462368292	12.3466733396129	17.9766455717645	6.81165570158288	9.22492232796577	9.76053191125938	12.3466733396129	6.81165570158288	9.22492232796577
AMHR2	0.404019392197567	0.438270836118055	0.421145114157811	3.079	0.033		2.45762229872041	0.0672040448135747	0.697180850804241	1.18273109382842	0	2.17300111307043	0.285921350436812	0.166078798048484	0.697180850804241	0	0.285921350436812	0.166078798048484
ANAPC1	0.673841520711183	0.609503079418961	0.641672300065072	5.902	0.015		0.531543071007651	0.108305777660123	11.3599468042809	15.1067016984449	13.9737543223526	19.7545555733676	8.74582954277308	10.402571986855	11.3599468042809	13.9737543223526	8.74582954277308	10.402571986855
ANAPC11	90.087146761491	95.144386680813	92.615766721152	12.639	0		-0.355415818408346	0.0216881787051092	449.353563662475	383.473676921734	467.929348506725	400.424841472161	476.159961895093	449.756483187843	449.353563662475	467.929348506725	476.159961895093	449.756483187843
ANAPC13	95.9441622384164	104.998067523838	100.471114881127	3.985	0.021		-0.96429391989965	2.7665630957076e-05	131.193031866045	75.5335084922243	112.794996362278	74.5734472894626	162.420145951076	131.760879142647	131.193031866045	112.794996362278	162.420145951076	131.760879142647
ANAPC2	0.207565915188037	0.372812903406301	0.290189409297169	4.344	0.019		1.3553499229041	0.100192565816868	8.98132978388993	21.2353991846467	10.3846050957209	10.6674600096185	2.13600067679266	1.97784750403194	8.98132978388993	10.3846050957209	2.13600067679266	1.97784750403194
